tree post commit class:compound
class implement:nsubj
servic protocol:amod
protocol implement:obj
role store:advcl
servic object:amod
object role:nmod
page find:obj
btree find:obl
commit btree:acl
delet reclaim:nsubj
reclaim commit:ccomp
post commit processor role:nmod
space reclaim:obj
btree reclaim:obl
clean trys:xcomp
page commit:obl
tree shrink:obj
row delet:obj
page row:nmod
resolv row:dep
urgenc commit:nsubj
post urgenc:nmod
work commit:obj
servic put:nsubj
put determin:advcl
post put:obl
commit put:ccomp
queue commit:obj
post commit:nsubj
work delay:nsubj
btree work:nmod
delay commit:ccomp
user work:compound
fals servic:ccomp
work servic:nsubj
asap servic:obj
open index:compound
tabl level:compound
level index:nmod
row updat:compound
level updat:compound
updat index:nmod
updat level:conj
tabl level:compound
row polici:compound
level polici:compound
standard polici:compound
standard polici:compound
work perform:obj
postcommit work:amod
implement class:obl
work class:nsubj
execut work:acl
post execut:obl
commit execut:ccomp
processor commit:obj
work complet:nsubj
context polici:compound
manag polici:compound
start polici:dep
post start:obl
commit start:ccomp
daemon commit:obj
standard start:nsubj
polici context mgr:obj
space reclaim:obj
commit delet:dep
delet row:amod
routin assum:nsubj
call assum:ccomp
intern transact:amod
transact call:obl
perform transact:acl
work perform:obj
exclus lock:amod
tabl lock:compound
delet row:amod
row encount:nsubj
commit transact:amod
transact encount:ccomp
exclus lock:amod
tabl lock:compound
routin handl:amod
handl delet:nsubj
purg handl:acl
commit purg:dep
hold delet:advcl
tabl level:compound
level lock:compound
exclus lock:amod
lock hold:obj
row purg:compound
level purg:compound
purg purg row level commit delet:acl
btree open:dep
page number:compound
number delet:nsubj
page number:nmod
polici standard:dep
