guard mutex:acl
intern state:amod
state guard:obj
entri state:nmod
cach object:amod
entri invalid:nsubj
uniniti invalid:amod
remov invalid:amod
remov uniniti:conj
variabl condit:dep
thread notifi:obj
entri remov:obj
cach remov:obl
wait thread:acl
entri wait:obl
unkept wait:xcomp
variabl condit:dep
thread notifi:obj
set complet:nsubj
entri ident:nmod
ident set:nmod
complet notifi:ccomp
object creat:nsubj
object set:nsubj
set creat:conj
null set:advcl
ident set:nsubj
callback object:amod
replac algorithm:compound
algorithm notifi:obj
event notifi:obl
cach object:amod
object event:nmod
request access:conj
remov access:obl
block grant:nsubj
current thread:amod
thread block:nmod
exclus access:amod
access grant:obj
entri grant:obl
block initi:nsubj
entri cacheabl:nmod
cacheabl block:nmod
set ident complet call:nsubj
object call:obl
cacheabl initi:nsubj
initi return:advcl
method call:nsubj
call initi:advcl
entri lock:nsubj
exclus access:amod
access lock:obl
method call:nsubj
call lock:advcl
lock releas:obj
reobtain releas:conj
wake reobtain:advcl
exclus access:amod
access give:obj
entri notifi:obj
initi complet:nsubj
cacheabl initi:nmod
complet notifi:ccomp
method call:nsubj
count increas:obj
entri count:nmod
entri remov:nsubj
cach remov:obl
true notifi:advcl
notifi access:parataxis
entri object:nmod
callback object:amod
object notifi:obj
access notifi:ccomp
call find:obl
creat call:acl
find cach find:conj
callback object:compound
object notifi:obj
count decrement:dep
entri count:nmod
entri remov:nsubj
cach remov:obl
entri unkeep:dep
thread wait:obl
thread request:nsubj
remov request:obj
entri remov:nmod
defin respons:advcl
contract defin:obl
caller respons:nmod
ensur caller:acl
singl thread:amod
thread execut:nsubj
execut ensur:ccomp
method execut:obj
object method:nmod
cach object:amod
object set:obj
held object:acl
entri held:obl
null cacheabl:conj
cach object:amod
object return:obj
held object:acl
entri held:obl
cach object:amod
entri object:obl
entri hold:nsubj
hold check:ccomp
valid object:amod
object hold:obj
cacheabl hold:obj
complet hold:conj
set complet:xcomp
ident set:obj
entri hold:nsubj
hold true:dep
valid object:amod
object hold:obj
callback object:compound
object set:obj
replac algorithm:compound
algorithm notifi:obj
action notifi:obl
perform action:acl
cach object:amod
object perform:obl
callback object:compound
entri clear:obj
notifi clear:conj
replac algorithm:compound
algorithm notifi:obj
cacheabl reus:nsubj
reus notifi:dep
