cacheabl conglomer implement:nsubj
singl item:amod
item implement:obj
cach item:nmod
conglomer directori:compound
cach conglomer:compound
wrapper object:compound
conglomid object:amod
conglomer conglomid:conj
conglomer object:amod
read object:acl
conglomer read:obl
extend wrapper:advcl
conglomer implement:compound
implement extend:obj
conglomer cach:dep
implement cach:dep
refer hand:nsubj
conglomer object:compound
object refer:nmod
cach object:acl
wrapper cach:obl
caller hand:obl
cach caller:compound
conglomer object:compound
java count:obl
garbag count:obl
conglomer object:compound
object chang:nsubj
creat chang:advcl
object put:obj
ident state:compound
state put:obl
thread call:nsubj
requir thread:acl
method requir:obj
cach manag:compound
manag call:ccomp
cach manag:compound
manag guarante:nsubj
guarante call:conj
thread guarante:obj
call thread:acl
object ident:nmod
thread safe:obl
true return:dep
object dirti:nsubj
dirti true:ccomp
object unkept:nsubj
unkept call:advcl
thread safe:obl
object clean:dep
synchron ensur:obj
dirti clean:dep
clean call:compound
method call:compound
call synchron:nmod
remov true:nsubj
true remov:advcl
object remov:nsubj
explicit request:amod
remov request:compound
request remov:obl
case call:obl
cach manag:compound
manag call:nsubj
call remov:parataxis
state call:obl
dirti state:nmod
thrown left:advcl
object left:nsubj
left remov:parataxis
clean state:amod
state left:obl
thread user:compound
safe user:amod
call safe:ccomp
time call:obl
cach manag:compound
manag call:obl
respons call:ccomp
object respons:nmod
implement object:acl
cacheabl implement:obj
ensur implement:advcl
object user:nmod
clean call:amod
standard derbi:compound
standard derbi:compound
error polici:compound
polici derbi:dep
