simpl sourc:amod
derbi sourc:compound
data sourc:compound
sourc creat:obj
default properti:compound
properti valu:compound
valu creat:obl
properti databas:conj
data sourc:compound
java bean:compound
bean provid:nsubj
constructor provid:obj
argument provid:obl
beanbox attempt:nsubj
attempt provid:advcl
instanti attempt:xcomp
bean instanti:obj
invok instanti:advcl
argument constructor:amod
constructor invok:obj
java bean:compound
bean properti:compound
properti add:obj
refer add:obl
properti string ref addr:nmod
list defin:nsubj
bean properti:compound
properti list:nmod
public method:amod
xxx method:compound
method defin:obl
object defin:obl
return argument:conj
boolean int:conj
string int:conj
bean properti:compound
object referenc:obj
