abstract class:compound
ddl action:compound
schema descriptor:compound
data dictionari:compound
dictionari describ:nsubj
statement type string:compound
type describ:obj
statement type:nmod
error report:compound
report describ:obl
alter schema:dep
statement alter:obj
schema descriptor:compound
descriptor standard:compound
standard schema:dep
system schema:compound
schema descriptor:compound
object creation:nmod
pass schema:amod
schema object:nmod
data exist:dep
schema exist:dep
schema descriptor:compound
descriptor standard:compound
standard exist:dep
schema exist:nsubj
tabl lock:obj
exclus tabl:nmod
share mode:compound
mode tabl:nmod
mode exclus:conj
prevent lock:advcl
deadlock prevent:obj
transact control heap conglomer number:compound
conglomer number:compound
heap number:nmod
tabl lock:obj
exclus mode:amod
mode lock:obl
system schema:compound
schema standard:dep
statement permiss:compound
permiss grant:nsubj
permiss grant:nsubj
grant determin:ccomp
grant determin:ccomp
current user:amod
user grant:obl
public grant:obl
grant determin:parataxis
current role:amod
role grant:obl
inherit role:acl
current role:amod
role inherit:obl
relev descriptor:amod
permiss descriptor:compound
descriptor find:obj
return find:conj
permiss descriptor:compound
yield descriptor:acl
privileg yield:obj
statement permiss:compound
current role:amod
role reli:obl
depend regist:obj
current role:amod
role revok:nsubj
role drop:nsubj
inherit role:acl
revok invalid:advcl
drop revok:conj
drop invalid:advcl
invalid regist:advcl
depend invalid:xcomp
current activ:amod
depend activ:amod
view depend:obl
constraint view:appos
trigger view:appos
trigger constraint:conj
depend activ:acl
current role:amod
role depend:obl
privileg role:nmod
depend regist:nsubj
current role:amod
role depend:nmod
regist track:acl
depend add:obj
column depend:nmod
provid column:nmod
generat column:amod
column depend:nsubj
depend aris:advcl
user creat:dep
creat function:amod
function depend:obl
depend adjust:obj
tabl depend:nmod
ansi udt:compound
udt tabl:nmod
depend add:obj
tabl depend:nmod
udt depend:nmod
udt tabl:conj
tabl depend:nsubj
depend add:advcl
udt depend:obl
redund depend:amod
depend add:obj
drop add:conj
depend drop:obj
object depend:nmod
udt object:nmod
lcc interpret:compound
interpret variabl:nmod
state variabl:compound
session variabl:nmod
depend metadata:dep
object drop:nsubj
depend object:acl
udt map:compound
add udt map map:compound
map depend:obl
udt map:nmod
depend ad:nsubj
ad map:acl
drop udt map map:compound
map ad:obj
udt map:nmod
depend ad:obl
drop metadata:parataxis
drop add:conj
depend drop:obj
routin depend:nmod
udt routin:nmod
lcc interpret:compound
interpret variabl:nmod
state variabl:compound
session variabl:nmod
alia ad:dep
descriptor ad:dep
routin descriptor:nmod
ad routin:acl
true ad:xcomp
ad metadata:parataxis
depend ad:obj
fals drop:dep
drop ad:xcomp
mutabl wrapper:amod
boolean wrapper:amod
fals wrapper:dep
