row delet:obj
base tabl:compound
tabl delet:obl
execut trigger:xcomp
execut trigger:xcomp
execut trigger:xcomp
insert plan:compound
plan compil:obl
expand expect:xcomp
includ expand:xcomp
pass includ:xcomp
inform pass:obj
trigger inform:acl
constraint pass:obj
constraint inform:conj
addit conglomer:amod
conglomer pass:obj
conglomer inform:conj
tabl conglomer:nmod
access method:compound
method tabl:nmod
thrown standard:acl
error standard:nmod
standard derbi:compound
standard derbi:compound
error polici:dep
polici derbi:amod
foreign constraint:amod
key constraint:amod
constraint violat:nsubj
sourc delet:nsubj
depend tabl:amod
tabl sourc:nmod
delet creat:ccomp
cascad result set:compound
result set class:compound
class overrid:nsubj
overrid delet:ccomp
method overrid:obj
thrown standard:acl
error standard:nmod
thrown standard:acl
error standard:nmod
