class share:nsubj
implement class:acl
method implement:obj
implement share:obl
conglomer interfac:compound
interfac implement:nmod
public method:amod
implement method:acl
data valu descriptor interfac:compound
interfac implement:obj
data valu:compound
valu length:nmod
implement depend:obl
string type:compound
type number:obl
charact number:nmod
string charact:nmod
numer type:amod
type number:obl
byte number:nmod
number store:obj
actual length:amod
valu length:nmod
length valu:appos
type length:nmod
defin type:acl
varchar valu:compound
valu shorter:nsubj
declar length:amod
varchar maximum:compound
maximum length:compound
length shorter:obl
data valu:compound
valu standard:compound
standard length:nmod
error length:obl
data valu:compound
valu descriptor:compound
descriptor valu:nmod
data valu:compound
valu string:nsubj
string throw:advcl
data valu:compound
string valu:nmod
thrown standard:acl
error standard:nmod
data valu:compound
valu descriptor:compound
descriptor valu:nmod
java object:compound
object type:nmod
java type:compound
object type:compound
data valu:compound
valu type:nmod
sql type:compound
jdbc defin:nsubj
map defin:obj
java type:compound
object type:compound
type map:nmod
sql type:compound
type map:nmod
user type:compound
type definit:compound
definit extend:obl
data valu:compound
valu object:nsubj
object throw:advcl
data valu:compound
object valu:nmod
thrown standard:acl
error standard:nmod
null valu:amod
type valu:nmod
data valu:compound
valu type:nmod
valu set:obj
base valu:case
valu set:advcl
data valu descriptor valu:nmod
result set data valu descriptor:nmod
column nullabl:nsubj
call nullabl:acl
null standard:compound
standard call:obj
thrown standard:acl
sql error:compound
error thrown:obl
access error:acl
result set:compound
set access:obj
valu set:obj
data valu descriptor valu:nmod
valu set:nsubj
set date:parataxis
data valu descriptor set:obj
order compar:obj
order compar:obl
purpos order:nmod
index posit:compound
posit purpos:nmod
method treat:nsubj
null treat:obj
order valu:amod
valu treat:obl
sql treat:obj
null sql:amod
equal null:advcl
valu treat:obj
valu sql:conj
order compar:nsubj
order equal:nsubj
order greater:nsubj
thrown standard:acl
error standard:nmod
collat column:nmod
uc basic:compound
list column:nmod
collat id:compound
id list:nmod
collat id:compound
id collat id:dep
conglomer column:compound
column id:nmod
true id:amod
collat basic:compound
uc collat:conj
uc basic:compound
