insert node node:nsubj
top node:amod
queri tree:compound
tree node:nmod
insert statement:compound
statement tree:nmod
target tabl:compound
tabl target tabl:dep
insert collist:compound
collist tabl:nmod
list tabl:dep
queryexpr repres:nsubj
express queryexpr:dep
insert express:acl
valu claus:compound
claus express:appos
select form:amod
form express:appos
form claus:conj
select node repres:obl
tabl oper node repres:obl
union node tabl oper node:nmod
target tabl:compound
tabl descriptor:nmod
locat descriptor:acl
insert descriptor:acl
insert locat:conj
queryexpr massag:nsubj
collist queryexpr:conj
collist massag:nsubj
ident massag:advcl
tabl layout:compound
layout ident:obl
ad involv:xcomp
default valu:compound
valu ad:obj
column valu:nmod
reorder ad:obj
reorder valu:conj
column match:nsubj
match reorder:acl
tabl order:nmod
order match:obj
object convert:obj
string convert:obl
tree print:compound
string object:obl
tree print:compound
print suppos:nsubj
work suppos:xcomp
node depth:nmod
tree node:nmod
insert node bind:obj
column tabl:conj
result type:compound
type figur:obj
express type:nmod
view resolut:compound
permiss check:nsubj
check figur:parataxis
insert massag:nsubj
insert select:nsubj
massag bind:acl
tree massag:obj
collist massag:advcl
select bind:acl
select massag:conj
column number:compound
order number:compound
number select:obj
tabl layout:nmod
store tabl:nmod
thrown standard:acl
error standard:nmod
return schema:compound
true session:amod
node refer:compound
refer true:obl
session schema:compound
schema tabl:compound
tabl true:dep
temporari tabl:dep
perman tabl:dep
perman temporari:conj
refer tabl:dep
session tabl:compound
schema tabl:compound
tabl true:ccomp
fals standard:amod
standard tabl:appos
thrown standard:acl
error thrown:obl
target properti:compound
properti hold:nsubj
interest properti:acl
hold verifi:ccomp
valid valu:amod
valu hold:obj
target properti:compound
properti turn:nsubj
valid properti:acl
support properti:acl
support valid:conj
target databas:compound
databas support:obl
turn note:appos
standard thrown:nsubj
error thrown:obl
bind check:compound
time check:compound
bulk insert disallow:nsubj
bind time:compound
time disallow:obl
target databas:compound
databas trigger:nsubj
tabl databas:nmod
trigger disallow:parataxis
execut time:compound
time disallow:obl
defer insert:amod
mode insert:compound
insert disallow:advcl
data dictionari mode:compound
insert mode:compound
thrown standard:acl
error standard:nmod
constant compil:obj
thrown standard:acl
failur thrown:obl
boolean creat:obj
track creat:xcomp
base column:amod
column track:obj
index column:acl
boolean column:amod
track column:dep
base track:obj
index column:acl
thrown standard:acl
failur standard:nmod
duplic order:amod
order remov:obj
push remov:conj
order push:obj
present push:advcl
sourc set:compound
result set:compound
set present:obl
call push:advcl
bulk optim:amod
insert optim:compound
optim request:obj
run time:compound
time request:obl
code generat:compound
generat creat:nsubj
insert generat:nmod
express creat:obj
activ class builder built:nsubj
class activ class builder:nmod
built class:acl
method built:xcomp
execut method:dep
built creat:advcl
standard built:obj
thrown standard:acl
error thrown:obl
type return:obj
statement type:nmod
statement type:obl
statement type:compound
type return:obj
depend return:advcl
target properti depend:obl
statement type:compound
statement type:obl
index list:nmod
tabl index:nmod
insert tabl:acl
optim version:amod
delet version:conj
tabl descriptor thrown:nsubj
tabl tabl descriptor:nmod
insert tabl:acl
delet tabl:acl
delet insert:conj
standard delet:obl
error thrown:obl
visitor accept:obj
visit children:amod
children accept:obl
node children:nmod
visitor standard:compound
error standard:nmod
