factori class:compound
api class:conj
jdbc object:compound
object class:nmod
autoload driver deregist:nsubj
shutdown deregist:obl
flag true:nsubj
deregist attribut:compound
attribut set:nsubj
set true:advcl
fals set:advcl
user set:obl
derbi set:dep
executor servic:compound
connect attempt:compound
attempt execut:obj
login timeout:compound
core pool:compound
pool size:compound
timeout size:conj
thread cach:nsubj
fresh thread:amod
thread creat:obj
time thread:dep
task submit:nsubj
submit thread:acl
task run:nsubj
thread run:obl
context loader:compound
class loader:compound
loader run:obl
thread loader:nmod
submit thread:acl
task submit:obj
connect import:advcl
databas connect:obl
classpath subsubprotocol:amod
databas live:nsubj
live import:conj
context loader:compound
class loader:compound
loader live:obl
thread cach:nsubj
cach execut:advcl
task execut:nsubj
thread execut:obl
context loader:compound
class loader:compound
login timeout:compound
timeout enforc:obj
run rais:advcl
time login:amod
login run:obj
thread factori:compound
produc factori:dep
daemon thread:compound
thread produc:obj
block thread:acl
shutdown block:obj
code call:nsubj
thread call:obl
put thread:acl
time limit:compound
limit put:obj
system privileg:compound
privileg check:nmod
user check:nsubj
check user:acl
permiss perm:compound
permiss perm:dep
shutdown privileg:compound
system privileg:compound
privileg check:nmod
perform requir:csubj
check perform:ccomp
polici grant:compound
grant check:obj
run requir:xcomp
encapsul test:amod
test run:obj
privileg requir:parataxis
sql rais:nsubj
rais privileg:xcomp
detail rais:xcomp
test succeed:nsubj
user succeed:obj
grant cover:obl
list grant:acl
shutdown permiss:compound
permiss list:iobj
shutdown permiss:dep
sql fail:obl
detail sql:acl
user check:nsubj
check user:acl
shutdown privileg:compound
privileg user:nmod
attribut convert:obj
url attribut:nmod
properti convert:obl
combin convert:conj
set combin:obl
caller pass:nsubj
set pass:obl
attribut set:nmod
info attribut:dep
null set:nsubj
default set:obl
return properti:amod
properti default:nmod
set properti:acl
user set:nmod
link break:obj
user set:nmod
set break:obl
ensur object:csubj
hang ensur:ccomp
user hang:obl
attribut add:obj
user object:nmod
properti object:compound
object add:obl
thrown sql:acl
url form:compound
form bad:dep
bad thrown:advcl
cope jdbc:dep
form cope:obl
derbi jdbc:dep
dbname jdbc:compound
jdbc derbi:dep
derbi jdbc:dep
dbname derbi:dep
subnam url:nsubj
dbname url:compound
url derbi:parataxis
url includ:nsubj
connect info:compound
properti set:nsubj
set info:acl
includ jdbc:acl
properti includ:obj
deriv properti:acl
attribut deriv:obl
url attribut:nmod
string jdbc:dep
empti string:amod
url present:obl
true return:dep
driver activ:nsubj
activ true:ccomp
privat method:amod
method packag:dep
nest connect:amod
emb connect conn:dep
nest connect:amod
object connect:dep
fail sql:dep
creat fail:xcomp
statement creat:obj
fail sql:dep
creat fail:xcomp
statement creat:obj
instanc return:obj
implement return:obl
failur sql:nmod
creat failur:acl
instanc return:obj
implement return:obl
connect result:compound
top level:amod
level result:nsubj
languag level:nmod
set meta data:amod
tree meta data:compound
meta data statement:nsubj
meta data:compound
data statement:compound
statement result:ccomp
creat statement:acl
sql creat:obj
result set atom:compound
atom creat:obl
implement column info:compound
store return:parataxis
inform return:parataxis
column inform:obl
result set inform:obl
broker connect return:obj
implement return:obl
return creat:conj
emb pool connect creat:obj
receiv instanc:amod
instanc creat:obl
embed data sourc instanc:nmod
return creat:conj
emb connect creat:obj
receiv instanc:amod
instanc creat:obl
properti info method:compound
method intend:nsubj
generic tool:amod
gui tool:compound
prompt properti:acl
human prompt:obj
databas connect:obl
depend valu:case
valu suppli:advcl
human suppli:nsubj
suppli note:ccomp
addit valu:amod
call iter:obl
properti info iter:obl
databas url:nmod
connect databas:acl
propos list:amod
tag valu:compound
valu pair:compound
pair list:nmod
open connect:xcomp
driver properti info object:compound
object array:nmod
describ array:acl
properti describ:obj
empti array:amod
properti requir:nsubj
requir array:advcl
databas access:compound
access error:compound
error occur:nsubj
occur sql:dep
shutdown deregist:obl
autoload driver deregist:nsubj
autoload driver deregist:nsubj
deregist check:ccomp
shutdown deregist:obl
deregist valu:compound
privileg lookup:compound
context servic lookup:nmod
user code:compound
code call:nsubj
call privat:advcl
entri point:compound
point call:obj
privileg monitor:compound
lookup monitor:dep
user code:compound
code call:nsubj
call privat:advcl
entri point:compound
point call:obj
privileg lookup:compound
modul lookup:compound
user code:compound
code call:nsubj
call privat:advcl
entri point:compound
point call:obj
privileg lookup:compound
servic lookup:compound
user code:compound
code call:nsubj
call privat:advcl
entri point:compound
point call:obj
