lock space repres:nsubj
complet set:amod
set repres:obj
lock set:nmod
held lock:acl
singl space:amod
compat space:compound
space held:obl
broken space:acl
group broken:obl
lock group:nmod
key hash map:acl
group refer:compound
refer key:obl
data hash map:nsubj
key data:nmod
lock hash map:nmod
instanc owner:nmod
transact instanc:dep
virtual tabl:amod
lock tabl:compound
transact belong:nsubj
lock transact:dep
belong find:ccomp
code part:nmod
group object:compound
guarante object:acl
lock releas:nsubj
releas guarante:ccomp
commit releas:obl
lock manag:compound
includ null:case
null object:nmod
return enumer:acl
lockabl return:obj
group lockabl:nmod
group refer:compound
refer map:obl
group map:obl
lock group:nmod
owner refer:obl
compat space:compound
space owner:nmod
maximum number:amod
element number:nmod
cach element:nmod
cach hash map:amod
store hash map:acl
lock group:compound
group store:obj
lock space instanc:compound
instanc creat:obj
object owner:dep
repres owner:acl
owner repres:obj
compat space:compound
space owner:nmod
owner repres:obj
compat space:compound
space owner:nmod
compat space:compound
space owner:obl
lock add:obj
group add:obl
lock unlock:obj
group lock:nmod
remov unlock:conj
group remov:obj
lock unlock:obj
group unlock:obl
match group:acl
key match:obj
return true:dep
lock held:nsubj
held true:dep
group held:obl
true return:dep
lock held:nsubj
held true:ccomp
compat space:compound
space held:obl
lock held:nsubj
held true:dep
fals true:parataxis
limit clear:obj
set limit:acl
set limit set:obl
count return:obj
number count:nmod
lock number:nmod
held lock:acl
space held:obl
argument bail:compound
count bail:nsubj
count return:nsubj
bail point:ccomp
return point:ccomp
return bail:conj
current count:amod
count return:obj
routin bail:nsubj
count greater:nsubj
greater bail:advcl
bail greater:obl
routin intend:nsubj
deadlock code:compound
code intend:obl
find intend:dep
space find:obj
fewest number:amod
number find:obl
lock number:nmod
