provid implement:advcl
manag capabl:compound
monitor manag:conj
monitor capabl:compound
capabl provid:obj
relat capabl:acl
network server:compound
server relat:obl
jmx relat:obl
network server control impl class:compound
network server control invok:obj
impl class:compound
jmx expos:obl
control permiss:acl
network server:compound
server control:obj
monitor permiss:acl
network server:compound
server monitor:obj
start return:xcomp
time start:obj
return server:compound
time server:compound
server run:nsubj
network server:compound
server ping:dep
specif set:amod
network set:compound
server set:compound
set valu:nmod
properti set:appos
server relat:obl
relat key:amod
properti key:compound
server properti:compound
valu properti:dep
server properti:dep
