repres class:acl
pkgnamcsn object:compound
object repres:iobj
rdb packag:compound
packag object:dep
consist token:compound
section number:compound
number token:conj
rdb identifi:compound
packag identifi:compound
collect identifi:compound
rdb identifi:compound
packag identifi:compound
rdb number:compound
packag number:compound
section number:compound
rdb packag:compound
consist packag:dep
token packag:dep
consist token:compound
pkgnamcsn instanc:compound
instanc creat:obj
rdbnam consist:compound
databas consist:compound
rdbcolid consist:compound
rdb consist:compound
packag consist:compound
collect consist:compound
identifi consist:compound
pkgid consist:compound
rdb consist:compound
packag consist:compound
identifi consist:compound
pkgsn consist:compound
rdb consist:compound
packag consist:compound
section consist:compound
number consist:compound
pkgcnstkn consist:compound
rdb consist:compound
packag consist:compound
token consist:dep
rdb identifi:compound
packag identifi:compound
collect identifi:compound
rdb identifi:compound
packag identifi:compound
rdb number:compound
packag number:compound
section number:compound
rdb packag:compound
consist packag:dep
token packag:dep
string represent:compound
represent return:obj
string valu:compound
object return:obj
hash tabl:compound
tabl key:nmod
consist token:compound
token valu:nmod
object equal:nsubj
hash code method:amod
method equal:obj
return object:acl
statement key return:obl
rdbnam equal:nsubj
rdbcolid rdbnam:conj
rdbcolid equal:nsubj
pkgid rdbnam:conj
pkgid equal:nsubj
pkgsn rdbnam:conj
pkgsn equal:nsubj
object valu:compound
object class:nmod
key stmt tabl:dep
hash tabl:compound
tabl key:nmod
databas class:compound
equal method:compound
hash code equal:obj
statement key object:compound
object equal:obl
pkgnamcsn object:compound
rdbnam valu:nmod
rdbcolid valu:nmod
rdbcolid rdbnam:conj
pkgid valu:nmod
pkgid rdbnam:conj
pkgsn valu:nmod
pkgsn rdbnam:conj
cach hash:amod
code hash:dep
rdbnam match:nsubj
rdbcolid rdbnam:conj
rdbcolid match:nsubj
pkgid rdbnam:conj
pkgid match:nsubj
pkgsn rdbnam:conj
pkgsn match:nsubj
statement key object:compound
object rdbnam:nmod
match check:ccomp
object match:obj
object equal:nsubj
true equal:dep
object equal:nsubj
equal obj:xcomp
hash code:compound
code calcul:obj
hash code:compound
pkgnamcsn object:compound
object key:nmod
pkgnamcsn valu:compound
valu key:dep
true key:dep
object key:nsubj
pkgnamcsn object:compound
