constant valu:amod
row valu:compound
result set:compound
set return:obl
select statement:amod
cursor result set implement:obj
give implement:conj
reason answer:amod
answer give:obj
set state:compound
open state:dep
standard thrown:nsubj
activ close:nsubj
close thrown:advcl
open return:advcl
return open:conj
row return:obj
plug return:advcl
paramet plug:obj
express plug:obl
standard thrown:nsubj
failur thrown:obl
standard thrown:nsubj
error thrown:obl
total amount:amod
amount return:obj
time amount:nmod
spent time:acl
result set type:compound
type time:compound
time spent:obl
spent time:acl
time spent:obl
spent time:acl
result set spent:dep
total amount:amod
amount spent:nsubj
time amount:nmod
millisecond spent:obl
store tabl:amod
tabl oper:obl
row locat:compound
report locat:acl
posit updat:amod
return delet:dep
null delet:obj
