shrink repres:dep
reserv space:amod
space shrink:obl
row space:nmod
page row:nmod
oper undoabl:nsubj
format identifi:compound
identifi return:obj
log stream:compound
class stream:compound
log stream:compound
stream read:obl
corrupt stream:acl
object input method:nmod
standard derbi:compound
standard derbi:compound
polici derbi:dep
imag problem:dep
page imag:nmod
problem read:nsubj
read restor:dep
complet record:amod
log record:compound
record read:obj
input stream:compound
stream read:obl
print debug:parataxis
