close state:acl
read perform:nsubj
perform idl:ccomp
transact perform:obl
activ updat:amod
read attempt:nsubj
attempt activ:ccomp
transact updat:compound
updat attempt:obl
updat attempt:nsubj
attempt readi:ccomp
transact attempt:obl
prepar transact:acl
transact readi:nsubj
commit readi:xcomp
futur readi:dep
transact identifi:compound
enter transact:acl
updat state:compound
state enter:obj
lifetim enter:obl
privat static:amod
bit overwrit:nsubj
commitflag bit:nmod
lock request:compound
request time:nsubj
grant time:advcl
wait grant:advcl
part requir:obl
fix part:nmod
method expos:nsubj
expos requir:ccomp
version check:compound
check expos:obl
transact modul:compound
process modul:compound
modul check:nmod
true return:dep
transact block:nsubj
block true:ccomp
log appli:nsubj
compens oper:compound
oper appli:obj
option data:amod
data written:nsubj
rollforward oper:amod
oper written:obl
attempt oper:acl
undo attempt:xcomp
derbi polici:compound
polici standard:dep
xact factori list:amod
list add:obl
updat transact:compound
transact list:nmod
xact factori list:amod
list remov:obl
updat transact:compound
transact list:nmod
xact factori list:amod
list remov:obl
updat transact:compound
transact list:nmod
log instant:compound
instant set:obj
log record:compound
record set:obl
written record:acl
transact written:obl
log instant:compound
log record:compound
written record:acl
transact written:obl
log instant:compound
instant set:obj
log record:compound
record set:obl
written record:acl
transact written:obl
log instant:compound
log record:compound
written record:acl
transact written:obl
transact identifi:compound
identifi set:obj
default valu:compound
standard polici:compound
standard polici:compound
derbi polici:compound
polici valu:obl
raw store:amod
store extern:obl
raw store:amod
store uniqu:obl
compat space:compound
transact space:nmod
object return:dep
lock manag:compound
compat space:compound
space provid:obj
transact space:nmod
transact conflict:nsubj
compat space:compound
space transact:nmod
lock conflict:obl
usual case:amod
uniqu space:amod
compat space:compound
compat space:compound
transact space:nmod
lock request:compound
request time:nsubj
grant time:advcl
wait grant:advcl
object owner:nsubj
owner work:dep
compat space:compound
space owner:nmod
wait time:csubj
lock wait:obl
transact owner:nsubj
owner work:advcl
compat space:compound
space owner:nmod
transact inherit:nsubj
compat space:compound
space inherit:obj
parent inherit:obl
method call:nmod
debug build:obl
error rais:nsubj
rais build:advcl
intern short:dep
raw store:amod
store intern:obl
raw store:amod
store uniqu:obl
saniti check:compound
clone transact tabl entri:amod
transact tabl entri call:obl
current default:amod
polici lock:obj
oper lock:obl
transact oper:nmod
transact start:nsubj
start chang:ccomp
default start:obl
lock default:acl
polici equival:compound
equival lock:obj
lock polici lock:obl
default chang:nsubj
subsequ call:amod
call chang:obl
set default lock polici chang:obl
lock polici polici:compound
polici chang:dep
current default:amod
lock default:acl
polici lock:obj
transact lock:obl
derbi polici:compound
polici standard:dep
derbi polici:compound
polici standard:dep
derbi polici:compound
polici standard:dep
work commit:nsubj
work commit:nsubj
common commit:ccomp
commit record:dep
includ commit:conj
includ record:dep
write includ:advcl
commit log:compound
log write:obj
record part:nmod
commit prepar:conj
work post:compound
post commit:nsubj
commitflag commit:nsubj
flavor commitflag:nmod
polici standard:dep
work prepar:nsubj
complet work:acl
commit complet:ccomp
commit post:xcomp
work commit:obj
state move:obj
transact state:nmod
