satisfi interfac:acl
generat task:nmod
common task:amod
task satisfi:obj
build satisfi:advcl
activ class:compound
class build:obj
java factori repositori:nmod
basic construct:amod
languag construct:compound
construct generat:obj
method generat:obl
class method:nmod
common task:amod
task includ:nsubj
set includ:obj
static field:amod
field set:nmod
express function:compound
function includ:obl
ad function:acl
creation ad:obj
execut method:compound
method creation:nmod
expand method:acl
queri tree:compound
tree walk:nsubj
walk expand:advcl
set includ:advcl
superclass set:obj
activ class:compound
class defin:nsubj
statement defin:obl
basic layout:amod
tbd layout:dep
jeev document:compound
unvers document:compound
repositori document:compound
intern document:compound
technic document:amod
method verifi:obj
ad verifi:advcl
class construct:obj
standard class:dep
thrown standard:acl
failur thrown:obl
class generat:obj
base class:compound
class base activ:nsubj
activ class:nmod
exec row number:nmod
standard alloc:obj
thrown standard:acl
assign generat:obj
num subqueri standard:nsubj
standard generat:advcl
thrown standard:acl
failur thrown:obl
execut method:compound
return statement:compound
result set:compound
set return:obj
construct set:acl
return generat:obj
result set:compound
entri result:obl
word result:nsubj
stack word:nmod
set result:acl
express set:obj
updat cursor:amod
getter method:compound
method add:obj
base activ add:obl
access add:advcl
result set:compound
set access:obj
identifi set:acl
target row:compound
row identifi:obj
posit updat:amod
updat row:nmod
delet add:advcl
delet access:conj
generat code:acl
updat cursor:amod
field add:obj
initi add:obj
initi field:conj
base activ add:obl
access add:advcl
result set:compound
set access:obj
identifi set:acl
target row:compound
row identifi:obj
posit updat:amod
updat row:nmod
delet add:advcl
delet access:conj
generat code:acl
updat cursor:amod
field add:obj
initi add:obj
initi field:conj
base activ add:obl
access add:advcl
result set:compound
set access:obj
identifi set:acl
cursor row:compound
result row:compound
row identifi:obj
posit updat:amod
updat row:nmod
delet add:advcl
delet access:conj
generat code:acl
express word:nsubj
top word:amod
stack word:compound
method call:nsubj
call word:acl
