alter tabl node repres:nsubj
ddl statement:compound
statement repres:obj
alter statement:acl
tabl alter:obj
creat object:acl
statist updat:obj
index statist:nmod
index statist:conj
tabl index:nmod
flag updat statist:compound
statist updat:obj
index statist:nmod
index updat:obj
index statist:conj
tabl index:nmod
statist drop:obj
index statist:nmod
index statist:conj
tabl index:nmod
flag drop statist:compound
statist drop:obj
index statist:nmod
index drop:obj
index statist:conj
tabl index:nmod
drop updat:ccomp
index drop:obl
specif index:amod
truncat tabl:compound
tabl constructor:obl
truncat tabl:acl
context manag:compound
manag standard:compound
standard truncat:obj
compress constructor:nmod
temporari tabl:amod
compress place:dep
alter tabl:acl
sequenti alter:xcomp
compress standard:nsubj
sequenti standard:amod
context standard:compound
manag standard:compound
thrown standard:acl
error thrown:obl
constructor compress:nsubj
inplac constructor:nmod
tabl compress:obj
alter tabl:acl
purg alter:obj
inplac alter:obl
defrag compress:nsubj
inplac defrag:nmod
compress defrag:ccomp
context standard:compound
manag standard:compound
thrown standard:acl
error standard:nmod
tabl constructor:nmod
alter tabl:acl
chang type updat:compound
updat stat:nsubj
drop statist:compound
statist updat:conj
statist stat:nsubj
stat alter:xcomp
true stat:amod
statist drop:obj
index statist:nmod
tabl index:nmod
fals drop:nsubj
statist drop:obj
drop context:amod
context manag:compound
tabl constructor:dep
alter tabl:acl
chang type add:nsubj
chang type drop:nsubj
chang type modifi:nsubj
chang type lock:nsubj
chang type restrict:nsubj
add alter:ccomp
drop alter:ccomp
drop add:conj
modifi alter:ccomp
modifi add:conj
lock alter:ccomp
lock add:conj
impact element add:obj
list add:obl
tabl element:compound
element list:nmod
impact element:acl
lock granular granular:compound
lock granular:compound
granular impact:obj
encod granular:acl
singl cascad:amod
charact cascad:compound
behavior cascad:compound
cascad encod:obl
restrict alter:ccomp
restrict add:conj
context manag:compound
manag restrict:obj
object convert:obj
string convert:obl
tree print:compound
string object:obl
tree print:compound
print suppos:nsubj
work suppos:xcomp
depth indent:nsubj
indent depth:acl
alter tabl node bind:obj
static error:compound
tabl creat:obj
column add:obj
thrown standard:acl
error standard:nmod
return schema:compound
true session:amod
node refer:compound
refer true:obl
session schema:compound
schema tabl:compound
tabl true:dep
temporari tabl:dep
perman tabl:dep
perman temporari:conj
refer tabl:dep
session tabl:compound
schema tabl:compound
tabl true:ccomp
fals standard:amod
standard tabl:appos
thrown standard:acl
error thrown:obl
constant inform:amod
inform creat:obj
drive inform:acl
gut drive:obj
execut gut:nmod
thrown standard:acl
failur standard:nmod
argument generat:obj
constant action:amod
action generat:obl
constant action call:obl
class rep alter tabl node:obl
subclass rep alter tabl node:conj
rep alter tabl node call:obl
thrown standard:acl
failur standard:nmod
column info argument:compound
argument generat:obj
constant action:amod
action generat:obl
number return:obj
constraint number:nmod
visitor accept:obj
visit children:amod
children accept:obl
node children:nmod
visitor standard:compound
error standard:nmod
