instanc implement:dep
tree conglomer:compound
secondari index:amod
index conglomer:compound
conglomer instanc:nmod
object store:nsubj
object hold:nsubj
disk store:obl
hold store:conj
store access:dep
specif inform:amod
inform access:dep
access describ:nsubj
describ hold:ccomp
conglomer describ:obj
inform includ:obj
format id:compound
id inform:nmod
column id:nmod
base tabl:compound
locat inform:appos
row column:compound
locat column:compound
column locat:nmod
access interfac:nsubj
start interfac:obj
conglomer interfac:compound
method call:nsubj
open scan method:dep
base tabl:compound
row locat:compound
locat assum:nsubj
insert locat:acl
secondari index:amod
index insert:obl
refer assum:xcomp
conglomer refer:obl
tabl lock:compound
row lock:compound
lock obtain:obj
base row:compound
tabl row:compound
row obtain:obl
index row:compound
row point:nsubj
point obtain:dep
base index:amod
integ index:compound
column index:nmod
hold index:acl
row locat:compound
locat hold:obj
base conglomer:compound
conglomer hold:obl
default valu:compound
valu column:nsubj
row locat column valu:nmod
key column:amod
tabl lock:compound
row lock:compound
lock obtain:obj
base row:compound
tabl row:compound
row obtain:obl
index row:compound
row obtain:obl
row locat column column:nsubj
key column:amod
class constructor:nmod
lock protect:xcomp
implment lock:obj
abtract routin:compound
tree routin:compound
routin implment:nmod
btree lock polici lock tabl:compound
lock tabl implment:dep
btree creat:obj
lock creat:xcomp
polici lock:obj
scratch lock:obl
polici standard:dep
base tabl:compound
tabl lock:obj
btree segment:compound
raw store:amod
store provid:nsubj
associ transact:acl
lock associ:obj
polici standard:dep
privat method:amod
method arrang:nsubj
bulk load:compound
tree index:compound
secondari index:amod
index load:dep
derbi error:compound
error standard:dep
polici standard:dep
duplic key:amod
key detect:nsubj
detect rais:advcl
load detect:obl
tree control:compound
control open:obj
polici standard:dep
tree control:compound
secondari index:amod
index control:compound
scan control:compound
control open:obj
polici standard:dep
tree compress:nsubj
compress open:ccomp
scan compress:obj
compress scan:compound
scan support:obj
polici standard:dep
open store cost control:amod
store cost control return:obj
conglomer return:obl
open store cost control:amod
store cost control return:obj
estim count:amod
row count:compound
cost count:conj
scan control oper:compound
conglomer control scan control:conj
conglomer control oper:compound
oper cost:nmod
conglomer count:conj
rawtran context:amod
raw context:amod
transact context:compound
context manag:nsubj
scan context:nmod
store cost control open:dep
polici standard:dep
tree index:compound
secondari index:amod
index drop:dep
polici standard:dep
return inform:dep
static return:dep
conglomer inform:nmod
includ conglomer:acl
plan compil:obj
static info:compound
info valid:nsubj
ddl execut:nsubj
execut valid:advcl
conglomid execut:obl
throw caller:acl
happen throw:advcl
static info:compound
info invalid:nmod
type containerid:nsubj
info type:nmod
array containerid:conj
templat creat:nsubj
creat containerid:advcl
info read:nsubj
info share:nsubj
object info:nmod
share read:conj
thread share:obl
compil static:acl
inform compil:obj
conglom identifi:amod
conglomer identifi:nmod
open conglomer:acl
polici standard:dep
format identifi:compound
identifi return:obj
store represent:amod
represent store:dep
column valu:compound
valu represent:nmod
stream valu:nmod
detail descript:amod
file top:nmod
store represent:amod
represent store:dep
column valu:compound
valu represent:nmod
stream valu:nmod
detail descript:amod
file top:nmod
store represent:amod
represent store:dep
column valu:compound
valu represent:nmod
stream valu:nmod
detail descript:amod
file top:nmod
memori represent:compound
represent restor:obj
stream restor:obl
thrown class:acl
store represent:amod
represent serial:nsubj
serial thrown:advcl
