purpos implement:nsubj
logic undo interfac:nsubj
format logic undo:conj
format interfac:nsubj
interfac implement:ccomp
provid interfac:xcomp
raw store:amod
store recoveri:compound
call provid:advcl
access code:compound
code call:obj
provid call:xcomp
logic provid:xcomp
undo logic:ccomp
abil undo:obj
resolv upgrad:obj
state disk layout:dep
interfac packag:compound
packag undo:nsubj
routin packag:nmod
perform call:xcomp
logic perform:xcomp
record undo:obl
rawstor determin:nsubj
page chang:nsubj
chang determin:ccomp
record written:nsubj
written interfac:dep
call written:conj
call interfac:dep
find undo interfac:compound
interfac chang:obl
find chang:xcomp
page find:obj
record exist:nsubj
exist find:advcl
move exist:advcl
persist state:amod
class store:nsubj
log record:compound
record store:obl
insert record:nmod
delet insert:amod
page find:obj
record find:obj
record page:conj
undo find:advcl
logic undo:nsubj
undo move:advcl
row move:nsubj
return move:parataxis
latch page:amod
page return:obj
undo return:advcl
record move:nsubj
record handl call:obl
log system:amod
system updat:nsubj
updat call:advcl
compens oper:compound
oper updat:obj
locat updat:obl
transact rawtran:obj
rollback page:compound
page oper:compound
support oper:acl
logic support:xcomp
undo support:ccomp
logic undo pointer:compound
function pointer:compound
pointer field:nsubj
page oper field:nmod
data page oper:nmod
store data:acl
log stream:compound
stream store:obl
record data:compound
row restor:obj
standard derbi:compound
standard derbi:compound
error polici:compound
polici derbi:dep
method read:nsubj
read derbi:parataxis
input stream read:obl
format identifi:compound
identifi return:obj
memori represent:compound
represent restor:obj
stream restor:obl
thrown class:acl
store represent:amod
represent serial:nsubj
serial thrown:advcl
