store hashtabl extend:obj
abil store hashtabl:nmod
maintain abil:acl
open scan maintain:obj
hashtabl extend:obl
close hashtabl:acl
long access:amod
row access:compound
access objectif:compound
long delay:amod
row delay:compound
delay access:nmod
actual objectif:amod
objectif access:nsubj
objectif depend:nsubj
column objectif:nmod
depend access:conj
tabl depend:obl
open depend:xcomp
column access:nsubj
access open:advcl
transact obtain:nsubj
access factori obtain:obl
class field:obl
class constructor:nmod
protect method:amod
method privat:dep
class method:nmod
public method:amod
class method:nmod
store hashtabl close:obj
cleanup perform:obj
finish perform:advcl
hashtabl finish:obl
dealloc derefer:compound
derefer object:compound
disk file:compound
file drop:obl
hash tabl:compound
tabl support:obj
polici standard:dep
method public:ccomp
xxxx class:compound
class public:obl
