minimum number:amod
number decid:nsubj
item number:nmod
check item:acl
give decid:xcomp
evict entri:amod
clock rotat:obj
larg part:dep
clock part:nmod
rotat clock give:obl
larg part:dep
clock part:nmod
find give:advcl
evict entri:amod
entri find:obj
shrink find:obl
cach manag:compound
replac polici:compound
maximum size:amod
cach size:nmod
size exceed:nsubj
exceed evict:advcl
entri evict:nsubj
insert evict:advcl
circular buffer:amod
clock buffer:compound
hold buffer:acl
entri hold:obj
cach entri:nmod
access synchron:csubj
clock access:obl
hand access:obl
hand clock:conj
clock synchron:obl
current posit:amod
clock hand:compound
hand posit:nmod
free entri:amod
entri number:nmod
object number:nmod
remov object:acl
cach remov:obl
entri free:nsubj
free object:acl
free remov:conj
reus free:xcomp
evict reus:obl
shrink method:compound
method thread:nmod
variabl call:nsubj
true call:amod
shrink call:nmod
clock polici instanc:compound
instanc creat:obj
cach manag:compound
manag cach manag:dep
request max size:csubj
polici initi size:nsubj
initi size request:ccomp
initi capac:amod
capac initi size:obj
cach capac:nmod
max size cach manag:parataxis
maximum size:amod
size max size:obj
cach size:nmod
entri insert:obj
cach insert:obl
maximum size:amod
size exceed:nsubj
exceed evict:advcl
object evict:obj
cach object:nmod
size increas:obj
cach size:nmod
entri insert:nsubj
insert entri:acl
lock insert:parataxis
standard insert:obj
error occur:nsubj
occur insert:advcl
insert occur:advcl
entri insert:obj
holder class:compound
repres class:acl
entri repres:obj
cach entri:nmod
clock algorithm:compound
algorithm requir:obl
class implement:nsubj
callback interfac:compound
interfac implement:obj
concurr cach notifi:nsubj
notifi implement:advcl
clock polici:compound
polici notifi:obj
event notifi:obl
relev event:amod
clock algorithm:compound
algorithm relev:obl
clock hand:compound
hand move:obj
holder move:obl
clock hand:compound
hand holder:nmod
null holder:conj
clock empti:nsubj
empti null:dep
clock rotat:obj
find rotat:advcl
free space:amod
space find:obj
entri find:obl
evict true:nsubj
true evict:advcl
object evict:nsubj
unus entri:amod
entri search:nsubj
entri mark:nsubj
clock hand:compound
hand sweep:nsubj
search stop:nsubj
reusabl entri:amod
percentag visit:nsubj
entri percentag:nmod
visit stop:advcl
free entri:amod
unus free:dep
search continu:nsubj
reusabl entri:amod
insert entri:acl
evict insert:obj
true full:dep
cach full:nsubj
cach fals:nsubj
fals full:conj
reus holder:acl
null holder:conj
entri evict:nsubj
evict check:advcl
entri evict:nsubj
present entri:acl
cach present:obl
method check:nsubj
dirti entri:acl
method return:nsubj
true entri:amod
caller hold:nsubj
lock hold:obj
entri lock:nmod
call hold:advcl
method call:obj
entri check:nsubj
holder check:obj
hold holder:acl
entri clear flag:compound
flag clear:nsubj
entri clear:obl
true clear:dep
call true:acl
part call:obl
normal rotat:amod
clock rotat:compound
rotat part:nmod
entri evict:nsubj
evict clear:advcl
holder remov:obj
clock posit:compound
posit remov:obl
posit pos:dep
holder remov:nsubj
remov pos:parataxis
clock shrink:obj
larger shrink:advcl
maximum size:amod
size larger:obl
shrink perform:obj
clock shrink:nmod
method call:nsubj
singl thread:amod
thread call:obl
time thread:nmod
indic flag:dep
entri access:nsubj
access indic:advcl
modifi access:conj
current thread:amod
thread lock:nsubj
lock modifi:advcl
cach entri object:compound
object lock:obj
store object:acl
entri field:compound
field store:obl
refer held:nsubj
cach entri object:compound
object refer:nmod
object held:obl
refer access:nsubj
holder monitor:nmod
refer chang:obj
lock chang:advcl
entri lock:obj
refer point:nsubj
point lock:ccomp
thread disassoci:nsubj
disassoci ensur:ccomp
holder disassoci:obj
entri disassoci:obl
entri lock:nsubj
lock disassoci:advcl
monitor releas:nsubj
holder monitor:nmod
releas lock:dep
cacheabl object:amod
remov object:amod
entri null:nsubj
cach object:nmod
holder evict:nsubj
clock evict:obl
evict reus:advcl
entri insert:nsubj
insert reus:advcl
holder monitor:nmod
monitor owner:nmod
variabl access:obj
entri mark:nmod
caller lock:nsubj
entri lock:obj
object mark:dep
free mark:dep
reusabl mark:dep
reusabl free:conj
caller lock:nsubj
entri lock:obj
holder sociat:dep
entri holder:nmod
holder free:nsubj
free entri:dep
associ entri:acl
holder associ:obj
lock holder:dep
current thread:amod
thread lock:obl
true holder:amod
holder true:obl
holder evict:nsubj
clock evict:obl
entri return:dep
evict call:advcl
entri evict:obj
method call:nsubj
call lock:advcl
current thread:amod
thread lock:nsubj
entri lock:obj
evict entri:acl
insert entri:acl
associ entri:acl
holder associ:obj
holder evict:obj
clock evict:obl
holder evict:nsubj
evict true:dep
fals true:parataxis
mark evict:nsubj
holder mark:nmod
clock evict:obl
prevent evict:xcomp
reus prevent:ccomp
holder reus:obl
call lock:csubj
thread call:obj
holder entri:nmod
entri lock:obj
holder evict:nsubj
evict check:ccomp
clock evict:obl
evict true:dep
fals true:parataxis
