column tabl:nmod
applic column:dep
instanc wrap:nsubj
wrap check:ccomp
object wrap:obj
implement object:acl
interfac implement:obj
class ifac:obj
defin ifac:xcomp
interfac defin:obj
true interfac:amod
instanc implement:compound
implement defin:obl
ifac implement:dep
fals defin:obl
fals implement:conj
instanc implement:compound
implement fals:dep
ifac implement:dep
class implement:nsubj
implement return:dep
interfac implement:obj
class ifac:obj
defin ifac:xcomp
interfac defin:obj
object interfac:dep
implement interfac:acl
interfac implement:obj
