interfac gather:nsubj
tasti inform:amod
inform gather:obj
indic inform:nmod
tabl indic:nmod
data dictionari tabl:nmod
index lister tabl descriptor:compound
tabl descriptor describ:nsubj
tabl describ:obj
question tabl:nmod
array return:dep
index generat:compound
row generat:compound
generat array:nmod
tabl generat:nmod
index array:nmod
row generat:compound
generat array:dep
standard thrown:nsubj
thrown array:parataxis
error thrown:obl
array return:dep
index conglomer:compound
conglomer id:compound
id array:nmod
tabl id:nmod
index conglomer:compound
conglomer standard:compound
id standard:compound
standard array:nmod
thrown array:acl
error array:nmod
array return:dep
distinct generat:amod
index generat:compound
row generat:compound
generat array:nmod
tabl generat:nmod
eras return:acl
entri eras:obj
duplic index:amod
index entri:nmod
share index:acl
conglomer share:obj
index array:nmod
row generat:compound
generat array:dep
standard thrown:nsubj
thrown array:parataxis
error thrown:obl
array return:dep
distinct id:amod
index conglomer:compound
conglomer id:compound
id array:nmod
tabl id:nmod
entri eras:obj
duplic index:amod
index entri:nmod
share index:acl
conglomer share:obj
index conglomer:compound
conglomer standard:compound
id standard:compound
standard array:nmod
thrown array:acl
error array:nmod
array return:dep
distinct index:amod
tabl index:nmod
entri eras:obj
duplic index:amod
index entri:nmod
share index:acl
conglomer share:obj
standard thrown:nsubj
thrown array:parataxis
error thrown:obl
indic read:obj
tabl read:obl
popul read:conj
array popul:obj
index row:compound
row popul:obl
generat id:compound
index conglomer:compound
conglomer generat:conj
conglomer id:compound
id row:dep
thrown standard:acl
error standard:nmod
