abstract class:amod
node class:compound
class repres:nsubj
data valu:compound
valu repres:obj
java domain:compound
domain valu:nmod
resolv type:amod
data type:compound
node type:nmod
descend overridden:obl
code generat:compound
generat add:nsubj
add toggl:ccomp
cast add:obj
extract add:advcl
primit valu:amod
valu extract:obj
object extract:obl
code generat:compound
cast fals:nsubj
fals add:xcomp
report add:nsubj
code generat:compound
generat report:nmod
cast add:obj
extract add:advcl
primit valu:amod
valu extract:obj
object extract:obl
code generat:compound
cast fals:nsubj
fals add:xcomp
correspond jsql type:acl
node correspond:obl
java sqltype:conj
primit java:amod
java class:compound
class sqltype:conj
jsql type map:dep
compil type:compound
univers type:amod
type jsql type:obj
map jsql type:advcl
compil type:compound
node mark:dep
call statement:compound
statement node:acl
call statement:compound
thrown standard:acl
error standard:nmod
thrown standard:acl
error standard:nmod
standard node:appos
thrown standard:acl
error thrown:obl
thrown standard:acl
error standard:nmod
thrown standard:acl
error standard:nmod
code generat:compound
general routin:amod
routin call:obj
generat routin:acl
express generat:obj
class activ class builder:nmod
built class:acl
method built:obl
express method:dep
thrown standard:acl
error thrown:obl
express generat:obj
evalu express:acl
receiv evalu:obl
java express:compound
express return:nsubj
return case:acl
sql domain:compound
domain return:obl
receiv null:nsubj
null check:ccomp
sql valu:compound
valu set:nsubj
set check:advcl
null set:advcl
java express:compound
express evalu:nsubj
evalu check:advcl
evalu set:conj
instanc call:compound
method call:compound
field refer:compound
refer call:conj
class method:compound
method call:compound
constructor call:nmod
java express:compound
method return:nsubj
null return:xcomp
implement generat:nsubj
method implement:nmod
receiv generat:obj
field generat:obl
receiv refer:nmod
class express class builder:nmod
built class:acl
method built:obl
express method:dep
receiv compil:obj
thrown standard:acl
error standard:nmod
variant type:amod
type return:obj
express return:obl
variant type:amod
scan variant:nmod
method call:compound
call variant:dep
field access:compound
access variant:dep
access call:conj
scan invari:obl
column refer:compound
refer scan:dep
outer tabl:amod
tabl refer:nmod
invari type:dep
life invari:nmod
queri life:nmod
constant express:amod
express invari:dep
variant type:amod
express type:nmod
general logic:amod
logic share:nsubj
logic share:nsubj
core compil:compound
compil share:obl
replic compil:compound
filter compil:compound
compil share:obl
child implement:nsubj
valu node child:nmod
class express class builder:nmod
built class:acl
method built:obl
express method:dep
thrown standard:acl
error thrown:obl
receiv valu:nmod
field generat:nsubj
hold field:acl
receiv valu:compound
valu hold:obj
receiv valu:compound
valu generat:obj
class express class builder:nmod
generat class:acl
method generat:obl
express method:dep
queri form:compound
tree form:compound
receiv standard:compound
express standard:compound
standard form:nmod
thrown standard:acl
error thrown:obl
node inform:obj
return inform:ccomp
valu return:obj
sql domain:compound
domain return:obl
node return:nsubj
valu return:obj
sql domain:compound
domain return:obl
return valu:amod
return valu:compound
valu discard:nsubj
node valu:nmod
reliabl type:compound
type check:obj
java valu:compound
valu type:nmod
thrown standard:acl
error standard:nmod
set collat type:dep
set collat type set:obl
collat type:compound
type set:obj
collat type:compound
type determin:obj
sql java valu node determin:obl
