wrapper class:compound
physic statement:amod
derbi statement:compound
prepar statement:amod
statement class:nmod
logic prepar:advmod
prepar statement:amod
statement idea:nmod
physic prepar:advmod
prepar statement:amod
statement reus:obl
logic entiti:amod
physic entiti:amod
special implement:amod
method check:nsubj
logic statement:amod
statement open:nsubj
open check:ccomp
physic statement:amod
logic prepar:advmod
prepar statement:amod
statement creat:obj
physic key:amod
statement key:compound
stmt key key:compound
physic cach interactor:amod
statement cach interactor:compound
statement interactor:compound
cach interactor:compound
interactor creat:obj
