hold queue:xcomp
extdta data:compound
data hold:obj
correl data:acl
column number:compound
number correl:obl
flag close:nsubj
indic flag:acl
result set:nsubj
set indic:ccomp
server set:obl
data receiv:nsubj
receiv close:advcl
data buffer:compound
buffer scan:obj
sql state:compound
method call:nsubj
cursor close:nsubj
close call:advcl
pointer modifi:nsubj
current row:amod
row pointer:nmod
modifi close:advcl
column offset:compound
offset adjust:obj
fetch adjust:advcl
part fetch:obj
split row:compound
row part:nmod
column index:nmod
split column:acl
column data:compound
data fetch:obj
locat note:nsubj
lob locat:nmod
design column:amod
column lob:nmod
method invok:nsubj
invok note:ccomp
lob column:compound
column invok:obl
null column:acl
column number:compound
column number:compound
number start:nsubj
locat valu:compound
valu start:obl
lob valu:compound
row split:compound
fetch check:conj
data fetch:obj
byte length:nmod
data length:nmod
column index:nmod
column data:compound
data fetch:obj
row split:compound
fetch check:conj
data fetch:obj
method data:nsubj
column data:compound
byte length:nmod
data length:nmod
data fetch:obj
row fetch:obl
split row:acl
column index:nmod
split column:acl
column data:compound
data fetch:obj
valu fetch:xcomp
valid byte posit valu:nmod
data valid byte posit:nmod
valu set:obj
row receiv server valu:nmod
boolean valu:amod
indic valu:acl
row receiv:nsubj
receiv indic:ccomp
server valu:nmod
flag set:obj
indic set:xcomp
qryclsimp enabl:nsubj
enabl indic:ccomp
flag true:obl
qryclsimp enabl:nsubj
enabl true:dep
qryclsimp enabl:nsubj
enabl check:ccomp
cursor enabl:obl
qryclsimp enabl:nsubj
enabl true:dep
