sql smallint satisfi:nsubj
data valu descriptor interfac:nsubj
interfac satisfi:ccomp
order data type interfac:obj
smallint column:compound
column implement:obj
store implement:advcl
column valu:compound
valu store:obj
nullabl chang:nsubj
construct chang:obl
affect chang:advcl
storag size:compound
size affect:obj
mechan affect:obj
mechan size:conj
order data type subtyp:nsubj
subtyp play:advcl
valu column subtyp:nmod
sql smallint play:nsubj
role play:obj
valu column row:compound
row play:obl
order data type row:compound
row play:obl
store return:nsubj
null flag:nmod
valu null:nmod
return assum:dep
length array:compound
array return:obj
store form:amod
form array:nmod
valu null:nsubj
null return:advcl
perform improv:compound
thrown standard:acl
failur thrown:obl
convert thrown:xcomp
format identifi:compound
identifi return:obj
column fals:obl
thrown standard:acl
error standard:nmod
thrown sql:acl
error sql:nmod
valu set:obj
prepar statement set:obl
sql error:compound
set error:dep
valu set:obj
prepar statement valu:nmod
valu set:obj
result set set:obl
method call:nsubj
valu call:obl
thrown sql:dep
result set object:compound
object thrown:obl
standard sql:parataxis
thrown standard:dep
access thrown:advcl
valu access:obj
arg constructor:compound
requir constructor:acl
formatt requir:obl
space alloc:obj
short alloc:obl
thrown standard:acl
string accept:nsubj
accept thrown:advcl
rang smallint standard:obl
rang smallint standard:obl
thrown standard:acl
error standard:nmod
thrown standard:acl
error standard:nmod
oper call:nsubj
languag modul:compound
modul call:obl
oppos call:advcl
storag modul:compound
modul oppos:obl
valu left:dep
left side:amod
side left:obl
valu side:acl
side valu:obl
sql side:acl
boolean valu:amod
paramet standard:nsubj
equal standard:amod
thrown standard:acl
error thrown:obl
oper modul:amod
call oper:dep
languag modul:compound
modul call:obl
oppos modul:amod
storag oppos:obl
valu left:dep
left side:amod
side left:obl
oper side:nmod
side valu:nmod
oper side:nmod
sql valu:compound
boolean valu:amod
paramet standard:nsubj
equal standard:amod
thrown standard:acl
error thrown:obl
call modul:amod
languag call:obl
modul oper:nmod
oppos modul:dep
storag modul:compound
modul oppos:obl
left valu:amod
left side:amod
side valu:nmod
oper side:nmod
side valu:nmod
oper side:nmod
sql valu:compound
boolean valu:amod
operand standard:compound
thrown standard:acl
error valu:nmod
oper modul:amod
call oper:dep
languag call:obl
oppos modul:amod
storag oppos:obl
valu left:dep
left side:amod
side left:obl
oper side:nmod
side valu:nmod
oper side:nmod
sql valu:compound
boolean valu:amod
operand greater:nsubj
operand standard:compound
standard greater:obl
thrown standard:acl
error thrown:obl
languag modul:compound
modul call:obl
oppos call:advcl
storag modul:compound
modul oppos:obl
valu left:dep
left side:amod
side left:obl
oper side:nmod
side valu:nmod
oper side:nmod
sql valu:compound
boolean valu:amod
operand equal:nsubj
operand standard:compound
standard equal:obl
thrown standard:acl
error thrown:obl
oper call:nsubj
languag modul:compound
modul call:obl
oppos call:advcl
storag modul:compound
modul oppos:obl
valu left:dep
left side:amod
side left:obl
oper side:nmod
side valu:nmod
oper side:nmod
sql valu:compound
boolean valu:amod
operand greater:nsubj
operand equal:nsubj
equal greater:conj
operand standard:compound
standard equal:obl
thrown standard:acl
error thrown:obl
method implement:nsubj
oper implement:obj
smallint oper:nmod
valu multipli:nsubj
multipli left:ccomp
valu multipli:obj
result multipli:iobj
previous call:amod
call result:nmod
method multipli:obl
null call:dep
call multipli:xcomp
sql smallint thrown:nsubj
multipl standard:compound
standard result:nmod
thrown left:parataxis
error thrown:obl
mod smallint:dep
method implement:nsubj
unari implement:obj
oper unari:nmod
smallint implement:obl
previous call:amod
call result:nmod
method call:nmod
null call:acl
call null:dep
sql smalllint call:obj
divis standard:compound
standard result:nmod
thrown standard:acl
error thrown:obl
method implement:nsubj
negat method:amod
method implement:obj
negat return:advcl
true return:xcomp
posit valu:amod
valu return:obl
null valu:conj
null return:obl
fals return:xcomp
