descript implement:dep
column descript:nmod
system tabl:compound
tabl column:nmod
column type:nmod
system column:compound
column creat:obj
builtin type:compound
type creat:obl
column accept:nsubj
null accept:obj
system column:compound
column creat:obj
builtin type:compound
type creat:obl
column accept:nsubj
null accept:obj
system column:compound
column creat:obj
identif creat:obl
consist type:amod
type identif:nmod
column nullabl:nmod
repres object:acl
column repres:obj
system column:compound
column creat:obj
charact represent:compound
represent creat:obl
consist type:amod
type uuid:nmod
char uuid:nmod
column nullabl:nmod
repres object:acl
column repres:obj
system column:compound
column creat:obj
charact represent:compound
represent creat:obl
indic column:compound
column represent:nmod
consist type:amod
char type:nmod
repres object:acl
column repres:obj
system column:compound
column creat:obj
java column:compound
column creat:obl
java class nullabl:compound
column nullabl:nmod
repres object:acl
column repres:obj
system column impl repres:nsubj
repres creat:dep
type repres:obj
type return:obj
column type:nmod
