util method:compound
handl method:acl
utf encod:dep
encod stream:amod
byte stream:compound
stream handl:obj
skip mention:nsubj
method skip:obj
mention check:advcl
detect mention:obj
invalid encod:amod
utf invalid:dep
encod detect:nmod
check note:ccomp
byte check:obj
charact byte:nmod
multibyt encod:compound
encod check:obl
byte check:nsubj
byte skip:nsubj
correct check:obl
skip check:conj
class instanti:nsubj
stream reach:nsubj
reach skip:advcl
byte stream:compound
stream skip:obl
utf encod:dep
encod charact:amod
charact stream:nmod
number skip:nsubj
charact number:nmod
request number:amod
number skip:obj
charact number:nmod
stream charact:nmod
byte stream:compound
stream skip:obl
utf encod:dep
encod charact:amod
charact stream:nmod
char skip number:compound
number skip:nsubj
charact number:nmod
skip charact:acl
number skip:obj
byte number:nmod
number skip:nsubj
charact number:nmod
helper class:compound
hold class:acl
skip hold:ccomp
count skip:obj
number skip:nsubj
byte number:nmod
number skip:nsubj
charact number:nmod
holder skip:nsubj
skip creat:ccomp
count skip:obj
byte count number:amod
byte number:obl
char count number:amod
number byte:obl
charact byte:nmod
