virtual interfac:amod
tabl interfac:compound
interfac expos:obj
class includ:nsubj
implement class:acl
result set implement:obj
includ interfac:acl
queri includ:obl
list includ:obl
derbi expos:nsubj
number expos:obj
vti number:nmod
diagnost tool:amod
tool vti:nmod
derbi prevent:nsubj
custom prevent:obj
declar prevent:advcl
vti declar:obj
parser rais:nsubj
error rais:obj
vti isn:nmod
packag isn:compound
derbi packag:compound
diagnost packag:amod
power featur:amod
problem solv:obj
reason discuss:obj
disabl reason:acl
put plan:acl
power put:obj
custom hand:compound
hand put:obl
