client driver:compound
execut queri call:nsubj
data reduc:nsubj
execut queri data:nmod
network traffic:compound
traffic improv:nsubj
perform improv:obj
drda protocol:compound
protocol support:nsubj
opnqri descript:nmod
open opnqri:dep
qryrowset paramet:compound
paramet specifi:nsubj
row rowset:nmod
command return:obl
scrollabl cursor:amod
qryattsn cursor:dep
equal cursor:amod
qrysnsdyn cursor:nmod
conform cursor:acl
limit queri:amod
block queri:compound
queri conform:obl
target server:compound
server fetch:nsubj
row number:nmod
row fetch:obj
restrict fetch:advcl
extra restrict:obl
queri limit:compound
block limit:compound
fetch limit:conj
oper result:compound
result fetch:obj
negat fetch:obl
