commit updat:advcl
refer manual:compound
alter featur:compound
tabl column:compound
drop column:compound
column featur:compound
column drop:obj
tabl drop:obl
alter command:compound
tabl command:compound
command document:nmod
page restructur:obj
approach easier:conj
document import:obl
describ import:xcomp
restrict behavior:compound
cascad restrict:conj
cascad behavior:compound
behavior describ:obj
user confus:nsubj
confus import:advcl
refus restrict:xcomp
drop refus:xcomp
column drop:obj
document note:nsubj
unexpect behavior:amod
behavior note:obj
column present:nsubj
index present:obl
refus restrict:xcomp
drop refus:xcomp
column drop:obj
column drop:nsubj
column drop:advcl
index column:nmod
entir index:amod
index drop:nsubj
drop index:conj
check constraint:compound
refus restrict:xcomp
drop refus:xcomp
column drop:obj
key primari:obj
foreign key:amod
key primari:obj
uniqu constrant:amod
constrant primari:obj
constrant key:conj
simpl unnam:dep
null constraint:amod
column constraint:nmod
refus restrict:xcomp
drop refus:xcomp
