transact log:compound
log write:obj
disk write:obl
jvm support:obl
log file:compound
rws mode:compound
mode open:obl
file system:compound
sync care:acl
disk write:obl
rws mode:compound
mode ensur:nsubj
data ensur:dep
file ensur:dep
file data:conj
meta data:compound
data updat:nsubj
write updat:obl
file updat:obl
system lead:nsubj
write oper:compound
oper lead:obl
disk oper:nmod
issu write:acl
derbi issu:obl
throughput limit:obj
intens applic:amod
applic updat:dep
file mode:compound
mode chang:obj
reduc rwd:ccomp
number reduc:obj
updat number:nmod
disk reduc:obl
simpl test:amod
test run:obj
chang test:acl
mode chang:obj
rws mode:nmod
derbi file:compound
log file:compound
file rwd:nmod
small number:amod
number run:obj
concurr thread:amod
client thread:compound
thread doubl:nsubj
throughput thread:dep
respons time:compound
time halv:nsubj
graph attach:obj
show graph:acl
number run:obj
client number:nmod
graph show:nsubj
throughput show:obj
run show:advcl
rws run:obl
rwd mode:compound
mode run:obl
mode rws:conj
disk cach:nmod
write cach:compound
cach enabl:nsubj
cach disabl:nsubj
disabl enabl:conj
jira creat:obj
collect place:acl
issu inform:nmod
chang inform:acl
default chang:obj
write mode:acl
log file:compound
file write:obl
