vararg ad:nsubj
java ad:obl
function invok:obj
bound function:acl
method bound:obl
variabl length:amod
length list:compound
argument list:compound
list method:nmod
refer guid:compound
guid state:nsubj
small number:amod
number state:obj
restrict number:nmod
method restrict:nmod
invok method:acl
derbi function:nsubj
function invok:advcl
public function:ccomp
static public:dep
long datatyp:amod
datatyp argument:acl
invok resolv:conj
function resolv:obj
bound function:acl
method bound:obl
don method:acl
suffer don:ccomp
limit suffer:obj
variabl list:amod
argument list:compound
