substanti perform:amod
perform hit:nsubj
observ hit:dep
client driver:compound
pool connect:acl
connect pool:compound
pool compar:nsubj
isol level:compound
level compar:obj
connect store:obl
valu store:obl
return valu:acl
connect request:dep
pool connect:nmod
connect pool:compound
pool user:nmod
current connect:amod
connect track:nmod
call execut:obj
connect method:obl
pool connect:nmod
connect method:compound
method execut:obl
connect pool:compound
prepar statement prepar:nsubj
time prepar:obl
net result:amod
queri result:nsubj
sequenc result:obl
roundtrip lookup:amod
lookup transact isol:dep
server cach:nmod
statement cach:compound
cach lookup:nmod
roundtrip lookup:amod
lookup prepar statment:dep
server cach:nmod
statement cach:compound
cach lookup:nmod
user error:compound
suggest error:conj
work inform:ccomp
fine work:xcomp
datbas fine:obl
oracl postgr sql:conj
work reason:acl
statement cach:compound
simpl statement:amod
statement implement:obj
derbi driver:nmod
client driver:compound
driver cach:nmod
isol level:compound
mark improv:amod
perform improv:compound
improv observ:obj
run observ:advcl
appserv run:obl
proper cach:amod
statment cach:compound
cach implement:nsubj
current schema:amod
current schema:amod
schema chang:nsubj
statement prepar:nsubj
prepar valid:parataxis
evict valid:conj
cach problem:acl
isol level:compound
level cach:obj
current schema:amod
schema cach:obj
schema level:conj
server chang:obl
client chang:obl
sql procedur:compound
store sql:acl
procedur detect:obl
problem overcom:nsubj
inform overcom:advcl
messag cach:nmod
excsqlset command:compound
drda command:compound
command util:obj
drda spec:compound
volum spec:dep
sqlstt object:compound
object add:obj
sqlcard add:obl
repli page:nmod
cach inform:compound
addit inform:amod
session inform:compound
