explicit mechan:amod
start mechan:acl
network server:compound
server start:obj
instal mention:acl
default manag:compound
secur manag:compound
manag instal:obj
polici instal:obj
polici manag:conj
network server control javadoc:compound
summari start:compound
command start:dep
command line:compound
line command:nmod
main method:amod
method start:obj
start mechan:compound
mechan state:nsubj
instal state:advcl
instal state:advcl
default manag:compound
secur manag:compound
manag instal:obj
polici instal:obj
polici manag:conj
start command:compound
java jar:compound
server start:compound
start jar:dep
default polici:compound
polici document:dep
document didn:xcomp
