lob stream control throw:nsubj
type throw:obj
sql type:dep
standard type:dep
sql generat:nsubj
thrown generat:conj
code generat:obl
lob stream control code:nmod
level thrown:obl
code level:nmod
sql thrown:nsubj
tedious thrown:advcl
handl tedious:xcomp
sql handl:obj
standard handl:obj
standard sql:conj
higher level:amod
level sql:nmod
replac propos:xcomp
sql replac:obj
standard replac:obl
lob stream control standard:nmod
purpos consist:nsubj
chang purpos:nmod
result consist:conj
code result:nsubj
higher level:amod
level code:nmod
