store stream:compound
stream clob:compound
temporari area:amod
area written:obl
derbi area:nmod
repres written:conj
temporari clob repres:obl
data transfer:nmod
reason manner:nmod
transfer oper:obl
complet clob:amod
clob transfer:nmod
copi method:compound
method oper:nsubj
byte level:compound
level oper:obl
charact length:compound
length save:obj
part transfer:nmod
clob part:nmod
truncat clob:dep
utf decod:obj
encod decod:xcomp
find encod:xcomp
byte count:compound
count find:obj
transfer decod:conj
byte transfer:obj
char length method:compound
method add:obj
intern clob add:obl
utf awar:obl
awar method:amod
copi method:compound
method add:obj
lob stream control add:obl
complet clob:amod
code execut:nsubj
exist byte:amod
byte orient:obl
orient method:amod
copi method:compound
method copi:dep
perform method:nmod
eof copi:obl
clob part:nmod
utf awar:obl
awar method:amod
copi method:compound
cheap check:amod
rang check:compound
request length cach char length:conj
cach char length request length:nmod
throw eof:compound
request length cach char length:dep
exist byte:amod
byte orient:obl
orient method:amod
copi method:compound
method copi:dep
perform method:nmod
eof copi:obl
ad start:csubj
utf awar:obl
awar method:amod
copi method:compound
method ad:obj
includ comment:case
comment start:obl
revis comment:nmod
patch revis:nmod
