call walk:parataxis
visit call:nsubj
parent visit:dep
visit call:obj
children visit:nmod
case fine:obl
node visit:obj
visitor post:nsubj
binari oper:amod
comparison oper:compound
check oper:conj
operand constant:nsubj
oper replac:nsubj
boolean constant:amod
queri tree:compound
visitor walk:obl
node walk:dep
constant operand:amod
visit operand:acl
constant true:advmod
true replac:obl
true rewritten:xcomp
tree process:nsubj
process start:advcl
replac oper:conj
true replac:advcl
queri tree:compound
intermedi form:amod
form transform:obl
oper operand:acl
constant perform:ccomp
visitor perform:nsubj
transform perform:obj
tree simplifi:nsubj
