data import:nmod
extern resourc:amod
resourc data:nmod
general process:advcl
csv file:compound
file process:obj
creat file:acl
tool creat:obl
header line:compound
line file:dep
accept standard:amod
tool includ:nsubj
header line:compound
line includ:obj
csv file:compound
file line:nmod
convent support:nsubj
excel support:obl
tool support:obl
tool excel:conj
request extend:nsubj
relat procedur:amod
procedur extend:obj
includ extend:xcomp
extra indic:amod
indic includ:obj
number includ:obl
header line:compound
line number:nmod
extra bonus:amod
column index:compound
columnindex argument:compound
argument accept:obl
easier handl:dep
case handl:obj
extern file:amod
input file:compound
file extend:nsubj
extend handl:advcl
includ extend:xcomp
addit column:amod
column includ:obj
