simplifi perform:advcl
releas manag:compound
manag perform:nsubj
manual step:amod
step perform:obj
feed perform:xcomp
releas note:compound
note generat:nsubj
generat feed:ccomp
data generat:obj
manual filter:amod
jira filter:compound
filter creat:obj
select creat:advcl
issu select:obj
address issu:acl
releas address:obl
filter result:nsubj
result save:ccomp
disk result:obl
xml result:obl
modifi write:dep
xml parser:compound
parser modifi:obj
report pars:obj
record determin:conj
jira note:compound
releas note:compound
note id:compound
attach id:compound
id determin:obj
issu determin:obl
requir issu:acl
releas note:compound
note requir:obj
current version:amod
soap api:compound
api version:nmod
step remov:nsubj
