bad advic:amod
advic er:obl
desper touch:compound
touch er:obl
touch advic:conj
delet directori:compound
file delet:obj
log delet:obl
directori er:obl
directori advic:conj
log directori:dep
databas good:obl
upgrad good:obl
file creat:nsubj
creat good:ccomp
directori creat:obl
peril warn:obl
corrupt effect:amod
elimin warn:conj
possibl elimin:obj
salvag possibl:nmod
user encourag:obj
zip backup:compound
databas directori:compound
directori backup:nmod
jvm directori:nmod
restor backup:conj
document restor:obj
encourag backup:conj
restor encourag:ccomp
good backup:amod
backup restor:obl
empti directori:amod
directori restor:obl
databas corrupt:nsubj
couldn hurt:amod
