log advis:advcl
databas log:obl
chang advis:xcomp
password chang:obj
warn messag:compound
chang log:xcomp
password chang:obj
user lead:obj
modifi lead:advcl
password modifi:obj
current databas:amod
databas modifi:obl
credenti databas:compound
jdbc connect:obj
derbi jdbc:dep
otherdb derbi:dep
user test:nsubj
test otherdb:appos
password abc:nsubj
abc test:parataxis
password expir:nsubj
day expir:obl
chang procedur:dep
password chang:obj
insert row:dep
updat insert:conj
delet insert:conj
jdbc connect:obj
derbi jdbc:dep
otherdb derbi:dep
user test:nsubj
test otherdb:appos
password test:parataxis
connect authent:compound
authent failur:compound
failur occur:nsubj
occur error:parataxis
invalid authent:amod
authent reason:dep
succeed updat:advcl
password updat:nsubj
