ad code:acl
class ad:obl
generat class:acl
derbi compil:nmod
queri compil:compound
compil generat:obl
static field:amod
plan stale:nsubj
stale check:advcl
getter method:compound
setter getter:conj
setter method:compound
accessor method:compound
method field:conj
generat class:amod
class byte:nmod
singl copi:amod
share copi:amod
base activ copi:nmod
complic generat:amod
byte code:compound
code generat:compound
generat occupi:nsubj
memori generat:appos
generat occupi:dep
class generat:obj
statement class:nmod
cach footprint:compound
smaller footprint:amod
disk footprint:compound
footprint generat:obl
store occupi:dep
prepar statement:amod
statement store:obj
