wait decid:advcl
java system:compound
modul system:compound
system wait:obl
project jigsaw:compound
jigsaw system:appos
defin decid:xcomp
subset defin:obj
platform specif:compound
specif subset:nmod
jep specif:appos
jep quot:nmod
featur intend:nsubj
intend quot:parataxis
enabl intend:xcomp
migrat enabl:obj
applic migrat:nmod
built applic:acl
java configur:compound
connect configur:compound
devic configur:compound
configur built:obl
cdc configur:appos
profil built:obl
platform profil:nmod
part platform:appos
long term:amod
term effort:compound
effort part:nmod
converg built:xcomp
cdc converg:obj
limit profil:amod
profil run:obl
current place:amod
propos place:compound
place profil:nsubj
jdbc place:dep
compact profil:compound
profil jdbc:nmod
jndi profil:nsubj
larger profil:dep
derbi run:nsubj
run good:advcl
smallest platform:amod
posibl platform:amod
platform run:obl
profil platform:appos
involv good:conj
derbi limit:nsubj
function limit:obj
