select max:amod
max run:obj
index column:amod
column run:obl
big column:nmod
investig bit:nmod
full index:amod
index scan:compound
row perform:obl
referenc row:acl
rightmost tree:amod
tree referenc:obl
node delet:nsubj
scan suggest:nsubj
tree scan:nmod
suggest implement:ccomp
tree max scan comment:nmod
parent node:compound
leaf node:compound
left side:amod
continu side:dep
valid valu:amod
max valu:compound
travers derbi:acl
tree travers:obl
higher level:amod
level node:compound
negat impact:amod
travers left:obj
leaf left:advcl
level left:xcomp
page latch:nsubj
wait latch:advcl
max valu:compound
valu search:nmod
conflict aris:nsubj
