derbi encount:nsubj
encount hidden:advcl
call method:acl
reflect call:obl
actual problem:amod
problem hidden:nsubj
long chain:amod
tabl creat:obj
insert row:dep
updat insert:conj
delet insert:conj
evalu thrown:advcl
express evalu:obj
evalu thrown:advcl
express evalu:obj
thrown error:parataxis
evalu thrown:advcl
express evalu:obj
file null:nsubj
null data:acl
case user:nmod
remov good:xcomp
invoc target remov:obj
chain remov:obl
easier remov:advcl
spot easier:xcomp
actual problem:amod
problem spot:obj
