pluggabl modul:amod
case verifi:obl
class implement:nsubj
implement verifi:ccomp
expect interfac:amod
interfac implement:obj
creat interfac:acl
instanc creat:obj
class instanc:nmod
class sas class:compound
sas class class:nsubj
authent scheme:compound
scheme authent:nsubj
case creat:obl
instanc creat:obj
check creat:advcl
fail creat:conj
class cast fail:obl
incorrect type:amod
type instanc:nmod
similar check:amod
case check:nmod
clearer error:amod
error give:iobj
messag give:obj
explain messag:acl
safer give:conj
limit safer:ccomp
constructor limit:ccomp
user forc:nsubj
forc constructor:ccomp
derbi engin:compound
engin forc:obj
invok forc:xcomp
