basic support:amod
xml support:nmod
consist xml:acl
xml datatyp:compound
datatyp consist:obl
oper consist:obl
oper datatyp:conj
xmlpars support:dep
xmlserial support:dep
xmlserial xmlpars:conj
xmlexist support:dep
xmlexist xmlpars:conj
exist function:amod
function enhanc:obj
derbi move:obj
usabl solut:amod
complet usabl:conj
complet solut:amod
path queri:compound
queri usabl:dep
solut move:obl
emphasi solut:nmod
issu attach:obl
document issu:dep
describ attach:xcomp
high level:amod
level consist:obl
xml oper:compound
datatyp oper:conj
pars implicit:dep
serial pars:obj
xml valu:compound
valu serial:nmod
oper ad:obj
xmlqueri oper:appos
result retriev:obj
path express:compound
express result:nmod
determin oper:nmod
express evalu:nsubj
evalu determin:advcl
empti sequenc:amod
sequenc evalu:obl
exist oper:amod
sql specif:compound
xml specif:compound
specif line:obl
eventu hope:amod
queri support:nmod
oppos hope:acl
path oppos:xcomp
derbi hope:nmod
interest time:conj
feedback provid:obj
