derbi disk:nsubj
disk starv:advcl
bound disk:acl
thread starv:nsubj
real problem:amod
problem client:dep
multipl client:amod
small number:amod
number access:obj
larg tabl:amod
tabl number:nmod
observ case:acl
high time:amod
maximum time:amod
respons time:compound
time observ:obj
worst case:amod
case minut:nmod
simpl transact:amod
transact minut:obl
averag time:amod
respons time:compound
time affect:nsubj
starvat caus:nsubj
synchron block:amod
block caus:obl
page read:obj
file read:obl
thread queue:nmod
wait thread:acl
monitor wait:obl
specif guarante:nsubj
wait thread:acl
monitor wait:obl
long time:amod
time wait:obl
thread coupl:nmod
full throughput:amod
