parser rewrit:nsubj
abstract tree:amod
syntax tree:compound
tree rewrit:obj
put rewrit:dep
aggreg put:obj
subselect put:obl
treat rewrit:dep
treat put:conj
claus treat:obj
claus treat:obl
fabric select:amod
outer select:advmod
select claus:nmod
subqueri select:nmod
compil result:nsubj
claus oper:nsubj
claus oper:nsubj
oper result:ccomp
special case:amod
case explos:nmod
compil case:nmod
pars compil:acl
compil handl:obl
bug defect:nmod
special elimin:obj
rewrit elimin:xcomp
handl elimin:conj
claus handl:obj
small bugfix:amod
medium size:advmod
size project:amod
project bugfix:conj
