simpl case:amod
tabl tbl:compound
primari index:amod
key index:amod
question queri:nmod
tbl select:obl
tabl scan:compound
entir tabl:amod
tabl scan:nmod
comparison field:nsubj
stop valu:compound
valu insert:obj
rang play:nsubj
valu rang:nmod
list valu:nmod
import role:amod
role play:obj
queri chang:nsubj
select chang:xcomp
tbl chang:obl
index scan:compound
chosen tbl:acl
case clever:obl
field index:nmod
valu number:nmod
list valu:nmod
rowcount estim:compound
list size:compound
size estim:conj
list length:nmod
list valu:compound
index search:compound
key search:amod
tabl search:nmod
join convert:obl
list valu:compound
temporari tabl:amod
tabl creat:obj
join creat:dep
optim choos:nsubj
tabl choos:obj
list choos:obl
outer tabl:amod
tabl choos:obl
join tabl:nmod
key search:amod
larger tabl:amod
queri plan:nsubj
log plan:ccomp
similar queri:amod
ascend valu:amod
primari index:amod
key index:amod
gmt thread:compound
select thread:acl
scanfix thread:dep
project restrict:compound
restrict result set:compound
number open:nsubj
filter row:dep
restrict true:nsubj
project fals:nsubj
constructor millisecond:compound
time millisecond:compound
open millisecond:amod
time millisecond:compound
time millisecond:compound
close millisecond:amod
time millisecond:compound
restrict millisecond:compound
time millisecond:compound
project millisecond:compound
time millisecond:compound
estim optim:acl
row count:compound
count estim:obj
optim cost:compound
estim optim:amod
sourc result:nsubj
set result:obj
tabl scan:nsubj
result set read:nsubj
scanfix read:advmod
read scan:ccomp
commit level:amod
isol level:compound
level read:obj
instantan lock:amod
share lock:compound
row lock:compound
chosen lock:acl
optim chosen:obl
number open:nsubj
filter row:dep
constructor millisecond:compound
time millisecond:compound
open millisecond:amod
time millisecond:compound
time millisecond:compound
close millisecond:amod
time millisecond:compound
millisecond time:nmod
row time:appos
scan inform:compound
bit set:compound
column set:nmod
fetch column:acl
number fetch:nsubj
column number:nmod
number visit:nsubj
page number:nmod
number qualifi:dep
row number:nmod
number visit:nsubj
row number:nmod
type heap:nsubj
heap scan:ccomp
posit start:obj
null stop:amod
stop posit:compound
null qualifi:amod
order fals:dep
null order:obj
unknown valu:amod
return valu:compound
fals valu:dep
negat fals:dep
comparison result:compound
result negat:obj
order fals:dep
null order:obj
unknown valu:amod
return valu:compound
true valu:dep
negat true:dep
comparison result:compound
result negat:obj
estim optim:acl
row count:compound
count estim:obj
optim cost:compound
estim optim:amod
gmt thread:nsubj
select thread:ccomp
scanfix select:advcl
project result set:compound
restrict result set:compound
result set scanfix:advcl
number open:nsubj
filter row:dep
restrict true:nsubj
project true:nsubj
constructor millisecond:compound
time millisecond:compound
open millisecond:amod
time millisecond:compound
time millisecond:compound
close millisecond:amod
time millisecond:compound
restrict millisecond:compound
time millisecond:compound
project millisecond:compound
time millisecond:compound
estim optim:acl
row count:compound
count estim:obj
optim cost:compound
estim optim:amod
sourc result:nsubj
set result:obj
row index:dep
base row:compound
result set index:dep
scanfix result set:nmod
number open:nsubj
column access:nsubj
heap access:obl
constructor millisecond:compound
time millisecond:compound
open millisecond:amod
time millisecond:compound
time millisecond:compound
close millisecond:amod
time millisecond:compound
estim optim:acl
row count:compound
count estim:obj
optim cost:compound
estim optim:amod
index scan:nsubj
result set scan:obj
scanfix result set:nmod
index scanfixedx:compound
read commit:dep
commit level:amod
isol level:compound
instantan lock:amod
share lock:compound
row lock:compound
chosen lock:acl
optim chosen:obl
number open:nsubj
filter row:dep
constructor millisecond:compound
time millisecond:compound
open millisecond:amod
time millisecond:compound
time millisecond:compound
close millisecond:amod
time millisecond:compound
millisecond time:nmod
row time:appos
scan inform:compound
bit set:compound
column set:nmod
fetch column:acl
number fetch:nsubj
column number:nmod
number visit:nsubj
delet row:amod
row number:nmod
number visit:nsubj
page number:nmod
number qualifi:dep
row number:nmod
number visit:nsubj
row number:nmod
type btree:nsubj
btree scan:ccomp
tree height:compound
posit start:obj
order semant:amod
null semant:amod
column semant:nmod
posit stop:obj
order semant:amod
null semant:amod
column semant:nmod
estim optim:acl
row count:compound
count estim:obj
optim cost:compound
estim optim:amod
