spring borrow:obl
local abil:amod
file abil:compound
cach abil:compound
abil ad:obl
http abil:nmod
https ad:conj
url https:obj
set cach:csubj
system properti:compound
properti set:obj
directori set:obl
written directori:acl
read set:conj
read cach:csubj
cach read:obl
remot resourc:amod
resourc cach:dep
good copi:amod
copi cach:obl
implement open:nsubj
input stream open:obj
url input stream:nmod
cach flag:compound
flag set:obj
fals set:advcl
avoid set:advcl
jar file:compound
file avoid:obj
lock file:acl
window lock:obl
copi save:obj
local cach:amod
cach save:obl
case sourc:compound
remot sourc:amod
sourc cach:nmod
clean url:amod
url determin:obj
origin url:amod
origin url:amod
url origin url:dep
origin path:amod
url path:compound
path url:nmod
clean origin url:parataxis
url clean:obj
implement compar:nsubj
url refer:compound
refer compar:obj
implement return:nsubj
hash code:compound
code return:obj
url refer:compound
refer code:nmod
