fact handl:nsubj
factori handl:obj
read serial:amod
serial handl:obj
packag serial:nmod
pattern refer:nsubj
rule pattern:nmod
generat refer:dep
data generat:obj
serial data:acl
default method:compound
method serial:obl
refer hold:obj
generat bytecod:amod
bytecod hold:obl
restor bytecod:acl
rule restor:obl
custom object input stream:compound
class resolv:obj
bytecod resolv:obl
packag compil data bytecod:nmod
rule restor:obj
write serial:compound
serial handl:obj
packag serial:nmod
pattern refer:nsubj
rule pattern:nmod
generat refer:dep
data generat:obj
serial data:acl
default method:compound
method serial:obl
refer hold:obj
generat bytecod:amod
bytecod hold:obl
generat bytecod:amod
bytecod restor:nsubj
rule restor:obl
class global:dep
type class:compound
packag add:obj
network add:obl
packag iter:obl
ad packag:acl
individu rule:amod
rule ad:obj
network ad:obl
updat network:compound
network lock:obl
referenc work memori:amod
work memori lock:nsubj
packag add:nsubj
add pkgs:acl
packag merg:obj
exist packag:amod
packag merg:obl
concret implement:amod
combin includ:advcl
import combin:obj
compil data:compound
data combin:obj
data import:conj
global combin:obj
global import:conj
actual object:amod
rule object:compound
object combin:obj
object import:conj
packag combin:obl
network retriev:obj
rule base network:nmod
