method exist:obj
work memori entri point string:compound
string exist:nsubj
return string:acl
entri point:compound
point return:obj
api call:compound
expos call:acl
entri point:compound
point collect:nmod
collect work memori entri point:compound
entri point:compound
list point:conj
list point:nsubj
point maintain:xcomp
rule test:obj
entri point:nsubj
point select:acl
event enter:nsubj
enter point:ccomp
develop forc:nsubj
hold forc:xcomp
sync hold:obj
inform sync:dep
drool code:compound
code hold:obl
messi code:acl
prone code:acl
prone messi:conj
bug messi:obl
fault messi:obl
fault bug:conj
list hold:obj
entri point:compound
point list:nmod
creation hold:obl
code remov:nsubj
remov hope:ccomp
entri point:compound
point remov:obj
updat remov:advcl
list updat:obj
tirelli discuss:obl
irc discuss:obl
