acc chang:obl
keyword acc:nmod
accumul evolv:ccomp
function separ:nsubj
boolean express:amod
eval express:appos
eval wrapper:compound
wrapper eval:nmod
separ eval:amod
encapsul good:advcl
intent encapsul:obj
guard intent:nmod
accumul case:compound
opportun accumul:dep
remov opportun:acl
eval keyword:compound
keyword remov:obj
case encapsul:obl
accumul rewrit:ccomp
place accumul:xcomp
small win:amod
cep case:compound
express emb:obj
accumul node:compound
node express:nmod
separ node:amod
separ don:nsubj
don keyword:dep
eval keyword:compound
