distinct set:amod
set share:nsubj
rule set:nmod
common type:amod
declar type:amod
type share:obl
intern fact:amod
util fact:compound
fact type:appos
build process:compound
process forbid:nsubj
multipl declar:amod
declar forbid:obj
fact declar:nmod
drl fact:nmod
quickest solut:amod
solut feasibl:nsubj
remov solut:acl
declar remov:obj
extern feasibl:csubj
declar extern:obj
file extern:obl
full control:amod
drl control:nmod
generat control:acl
extern acquir:dep
sourc acquir:dep
builder recogn:nsubj
builder ignor:nsubj
equival declar:amod
declar recogn:obj
ignor recogn:conj
