number count:obj
criteria meet:obj
town object:compound
person object:compound
object list:nmod
rule write:obj
town find:obj
disabl peopl:amod
incom peopl:nmod
town add:obl
resid town:nmod
poor children:amod
teacher add:obj
children add:obl
jbr syntax:compound
syntax shaki:obl
rule disabl:nsubj
size array list:appos
collect size:nmod
disabl person:dep
rule teacher:compound
arraylist count:dep
collect arraylist:nmod
disabl person:dep
size count:dep
town work:obl
peopl work:obl
peopl town:conj
understood exampl:amod
