ident check:compound
check ident:compound
groovi ident:amod
check object:obl
overridden ident:obl
fals instanc:dep
call closur:acl
call closur:acl
invok method:nsubj
invok method:acl
invok closur:obl
invok refer:obl
invok instanc:obl
invok method:nsubj
call method:acl
append method:dep
call method:obl
string builder instanc:compound
instanc string builder:compound
invok instanc:obl
subscript oper:compound
oper subscript:compound
dynam properti:amod
properti valu:compound
valu properti:compound
lookup valu:obj
properti express bean:dep
bean properti express:dep
normal notat:amod
properti notat:compound
notat properti:compound
notat work:nsubj
work notat:nsubj
groovi notat:acl
neater work:amod
concis work:amod
compil time:dep
subscript oper:compound
oper subscript:compound
properti valu:compound
valu properti:compound
set valu:obj
bean properti express:compound
properti express bean:compound
properti express foo:nsubj
foo properti express:nsubj
normal notat:amod
properti notat:compound
notat properti:compound
notat work:nsubj
work notat:nsubj
groovi notat:acl
neater work:amod
concis work:amod
compil time:obj
detail string:amod
dump string:compound
string dump:compound
generat string:obj
object string:nmod
string object:nmod
show object:acl
show class:obj
show hash code:obj
hash code class:conj
class hash code:conj
show field:obj
field class:conj
class field:conj
retriev list:obj
object list:nmod
list object:nmod
wrap retriev:conj
retriev wrap:conj
wrap list:obl
object list:nmod
list object:nmod
provid list:acl
provid valu:obj
properti valu:nmod
valu properti:nmod
conveni method:amod
call method:acl
simpl pair:amod
key valu:compound
valu key:compound
simpl valu:dep
pair form:nmod
form pair:nmod
nsbp form:conj
form nsbp:conj
type inform:compound
inform type:compound
inform form:conj
form inform:conj
scope method:amod
extend object:obj
categori method:compound
method categori:compound
extend method:obl
ad method:nsubj
class method:nmod
method class:nmod
super class:amod
class method:nmod
method class:nmod
ad object:obl
extend class:obj
categori method:compound
method categori:compound
extend method:obl
ad method:nsubj
class method:nmod
method class:nmod
super class:amod
class method:nmod
method class:nmod
ad class:obl
extend class:obj
categori method:compound
method categori:compound
extend method:obl
extend class:obj
categori method:compound
method categori:compound
extend method:obl
extend class:obj
categori method:compound
method categori:compound
extend method:obl
extend class:obj
categori method:compound
method categori:compound
extend method:obl
scope method:amod
list method:nmod
method list:nmod
categori list:nmod
list categori:nmod
add shutdown hook usag:nmod
usag add shutdown hook:nmod
categori list:nmod
list categori:nmod
categori class:compound
class categori:compound
wrap class:obj
list class:nmod
class list:nmod
format valu:dep
format style:amod
groovi style:amod
print style:obj
print writer:advcl
standard stream:amod
output stream:compound
stream output:compound
stream writer:obl
writer stream:obl
format valu:dep
format style:amod
groovi style:amod
print style:obj
print writer:compound
writer print:compound
print writer:obl
format valu:dep
format style:amod
groovi style:amod
print style:obj
print stream:compound
stream print:compound
print stream:obl
print valu:obj
standard stream:amod
output stream:compound
stream output:compound
print stream:obl
method deleg:compound
deleg method:compound
owner deleg:nmod
deleg owner:nmod
execut owner:acl
execut method:obj
print linebreak:obj
standard stream:amod
output stream:compound
stream output:compound
print stream:obl
print linebreak:obj
standard stream:amod
output stream:compound
stream output:compound
print stream:obl
method deleg:compound
deleg method:compound
owner deleg:nmod
deleg owner:nmod
execut owner:acl
execut method:obj
format valu:dep
format style:amod
groovi style:amod
print style:obj
print writer:advcl
standard stream:amod
output stream:compound
stream output:compound
stream writer:obl
writer stream:obl
format valu:dep
format style:amod
groovi style:amod
print style:obj
print writer:compound
writer print:compound
writer style:nmod
style writer:nmod
format valu:dep
format style:amod
groovi style:amod
print style:obj
print stream:compound
stream print:compound
stream style:nmod
style stream:nmod
print valu:obj
standard stream:amod
output stream:compound
stream output:compound
print stream:obl
method deleg:compound
deleg method:compound
owner deleg:nmod
deleg owner:nmod
execut owner:acl
execut method:obj
consol printf:obl
printf consol:obl
string sprintf:obl
sprintf string:obl
format string:amod
string return:dep
return string:dep
format string:compound
string format:compound
argument string:conj
string argument:conj
arg type:nmod
type arg:nmod
list object:dep
object list:dep
int list:appos
list int:appos
short list:amod
byte list:obj
list byte:obj
char byte:dep
byte char:dep
float char:obj
char float:obj
doubl list:obj
doubl byte:conj
inspect return:csubj
return inspect:csubj
return string:obj
match string:acl
type match:ccomp
match type:ccomp
termin object:amod
creat termin:xcomp
termin creat:xcomp
type object:obl
creat object:obj
print consol:obl
interact format:amod
format consol:nmod
consol format:nmod
print consol:obl
interact format:amod
format consol:nmod
consol format:nmod
dynam method:amod
invoc method:compound
method invoc:compound
provid method:obj
overload method:acl
overload class:obl
implement overload:xcomp
overload implement:xcomp
dynam proxi:amod
implement proxi:obj
overload method:acl
overload behavior:obj
case method:compound
method case:compound
method behavior:nmod
behavior method:nmod
switch statement:compound
statement switch:compound
statement method:nmod
method statement:nmod
default implement:compound
implement default:compound
handl implement:nsubj
handl array:iobj
handl type:obj
overridden handl:conj
handl overridden:conj
overridden type:obl
call code:nsubj
return call:advcl
call return:advcl
true return:xcomp
return true:xcomp
special implement:nmod
implement special:nmod
case implement:compound
implement case:compound
class implement:nmod
implement class:nmod
class test:nmod
test class:nmod
switch statement:compound
statement switch:compound
statement class:nmod
class statement:nmod
case implement:compound
implement case:compound
collect implement:nmod
implement collect:nmod
switch operand:compound
operand switch:compound
case valu:compound
valu case:compound
case implement:compound
implement case:compound
map implement:nmod
implement map:nmod
test map:acl
groovi valu:amod
truth valu:compound
valu truth:compound
test valu:obj
obtain valu:acl
switch operand:compound
operand switch:compound
special implement:nmod
implement special:nmod
case implement:compound
implement case:compound
number implement:nmod
implement number:nmod
deleg implement:dep
implement deleg:dep
compar method:compound
method compar:compound
method deleg:nmod
deleg method:nmod
compar implement:dep
compar number:obj
type number:nmod
number type:nmod
