ast transform:compound
transform ast:compound
log field:compound
field log:compound
add field:obj
add class:obl
dummi valu:amod
string annot:compound
annot string:compound
annot valu:compound
valu annot:compound
null valu:nsubj
annot class:amod
defin log strategi:nsubj
wire defin:ccomp
defin wire:ccomp
logger instanc:compound
instanc logger:compound
wire instanc:obj
exist class:amod
wire class:obl
annot famili:nmod
famili annot:nmod
log provid:compound
provid log:compound
annot provid:compound
provid annot:compound
write provid:obj
