list implement:compound
implement list:compound
return implement:acl
return queri:obl
node queri:nmod
queri node:nmod
helper method:compound
method helper:compound
method path:nmod
path method:nmod
path method:nmod
method path:nmod
creat node list:obj
origin element:nmod
clone creat:parataxis
creat clone:parataxis
clone case:obl
node case:nmod
case node:nmod
element lookup:nmod
lookup element:nmod
element lookup:nmod
lookup element:nmod
text valu:compound
valu text:compound
valu return:dep
return valu:dep
collect element:nmod
element collect:nmod
