util class:dep
class util:dep
class collect:amod
collect class:amod
find combin:obj
item combin:nmod
combin item:nmod
collect item:nmod
item collect:nmod
find subsequ:obj
list subsequ:nmod
subsequ list:nmod
combin iter:dep
iter combin:dep
find combin:obj
item combin:nmod
combin item:nmod
iter aggreg:compound
aggreg iter:compound
aggreg item:nmod
item aggreg:nmod
collect aggreg:nmod
aggreg collect:nmod
true combin:appos
fals true:appos
true fals:appos
fals true:appos
true fals:appos
true fals:dep
fals true:dep
true fals:parataxis
fals true:parataxis
fals true:dep
true fals:dep
fals true:parataxis
true fals:parataxis
singleton collect:compound
collect singleton:compound
combin collect:appos
collect combin:appos
transpos array:obj
list array:nmod
array list:nmod
transpos list:obj
minimum valu:amod
select valu:obj
item array:nmod
array item:nmod
min valu:dep
valu min:dep
object min:nmod
min object:nmod
min iter:dep
iter min:dep
minimum valu:amod
select valu:obj
item iter:nmod
iter item:nmod
maximum valu:amod
select valu:obj
item array:nmod
array item:nmod
min valu:dep
valu min:dep
object min:nmod
min object:nmod
max iter:dep
iter max:dep
maximum valu:amod
select valu:obj
item sum:dep
sum item:dep
array item:nmod
item array:nmod
item array:nmod
array item:nmod
iter sum:dep
sum iter:dep
sum item:nsubj
item sum:nsubj
