groovi support:nsubj
annot support:obj
local declar:amod
variabl declar:amod
declar support:obl
annot legal:advcl
local variabl:amod
variabl annot:obj
ast produc:nsubj
produc legal:conj
carri produc:ccomp
annot carri:obj
ast builder:compound
builder case:nmod
local variabl:amod
variabl annot:obj
sourc println:nsubj
compil println:acl
properti annot:obj
closur annot:obl
declar express closur:acl
builder result:dep
sourc println:nsubj
compil println:acl
annot ad:nsubj
method annot:dep
declar express ad:obl
support ad:xcomp
