age wrote:obl
spell checker:compound
checker wrote:obj
groovi wrote:advcl
case inform:nmod
thrown method exept:acl
finish pick:conj
patch finish:obj
method find:obj
edit distanc:compound
distanc find:obl
relat find:advmod
request method:amod
method relat:obl
edit distanc:compound
method rank:nsubj
method rank:obj
probabl solut:amod
solut display:nsubj
display rank:advcl
perform impact:compound
impact isol:nsubj
impact isol:nsubj
method properti:conj
constructor isol:obl
impact case:acl
work program:amod
program impact:obj
unit test:compound
test partial:nsubj
era partial:parataxis
complet era:amod
string array:compound
array metric:compound
metric era:obl
coverag weak:nsubj
weak partial:conj
method signatur:nmod
applic static:dep
argument type:compound
type applic:obl
valu static:dep
valu solut:dep
int valu:appos
int valu:appos
object integ:dep
match constructor:amod
constructor find:obj
int solut:dep
